,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
0,clf,kn,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,{'n_neighbors': 51},0.74,0.68,0.74,0.99,0.50,0.03,954.00,338.00,"{'0': {'precision': 0.74251968503937, 'recall': 0.9884696016771488, 'f1-score': 0.8480215827338129, 'support': 954}, '1': {'precision': 0.5, 'recall': 0.03254437869822485, 'f1-score': 0.0611111111111111, 'support': 338}, 'micro avg': {'precision': 0.7383900928792569, 'recall': 0.7383900928792569, 'f1-score': 0.7383900928792569, 'support': 1292}, 'macro avg': {'precision': 0.621259842519685, 'recall': 0.5105069901876869, 'f1-score': 0.454566346922462, 'support': 1292}, 'weighted avg': {'precision': 0.6790741327612686, 'recall': 0.7383900928792569, 'f1-score': 0.6421580073402579, 'support': 1292}}",2.90
1,clf,svc-rbf,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,"{'C': 1, 'gamma': 1}",0.74,0.55,0.74,1.00,0.00,0.00,954.00,338.00,"{'0': {'precision': 0.7383900928792569, 'recall': 1.0, 'f1-score': 0.8495102404274265, 'support': 954}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 338}, 'micro avg': {'precision': 0.7383900928792569, 'recall': 0.7383900928792569, 'f1-score': 0.7383900928792569, 'support': 1292}, 'macro avg': {'precision': 0.36919504643962847, 'recall': 0.5, 'f1-score': 0.42475512021371326, 'support': 1292}, 'weighted avg': {'precision': 0.5452199292622377, 'recall': 0.7383900928792569, 'f1-score': 0.6272699453310874, 'support': 1292}}",8.18
2,clf,dtree,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,"{'max_depth': 2, 'min_samples_leaf': 10}",0.74,0.55,0.74,1.00,0.00,0.00,954.00,338.00,"{'0': {'precision': 0.7383900928792569, 'recall': 1.0, 'f1-score': 0.8495102404274265, 'support': 954}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 338}, 'micro avg': {'precision': 0.7383900928792569, 'recall': 0.7383900928792569, 'f1-score': 0.7383900928792569, 'support': 1292}, 'macro avg': {'precision': 0.36919504643962847, 'recall': 0.5, 'f1-score': 0.42475512021371326, 'support': 1292}, 'weighted avg': {'precision': 0.5452199292622377, 'recall': 0.7383900928792569, 'f1-score': 0.6272699453310874, 'support': 1292}}",0.49
3,clf,rforest,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 10}",0.73,0.64,0.74,0.99,0.37,0.02,954.00,338.00,"{'0': {'precision': 0.7399842890809112, 'recall': 0.9874213836477987, 'f1-score': 0.8459811405478221, 'support': 954}, '1': {'precision': 0.3684210526315789, 'recall': 0.020710059171597635, 'f1-score': 0.03921568627450981, 'support': 338}, 'micro avg': {'precision': 0.7345201238390093, 'recall': 0.7345201238390093, 'f1-score': 0.7345201238390094, 'support': 1292}, 'macro avg': {'precision': 0.5542026708562451, 'recall': 0.5040657214096982, 'f1-score': 0.44259841341116596, 'support': 1292}, 'weighted avg': {'precision': 0.6427796653039186, 'recall': 0.7345201238390093, 'f1-score': 0.6349233049871569, 'support': 1292}}",24.96
4,clf,xgb,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,{'n_estimators': 50},0.74,0.68,0.74,0.98,0.48,0.04,954.00,338.00,"{'0': {'precision': 0.7434679334916865, 'recall': 0.9842767295597484, 'f1-score': 0.8470906630581867, 'support': 954}, '1': {'precision': 0.4827586206896552, 'recall': 0.04142011834319527, 'f1-score': 0.07629427792915532, 'support': 338}, 'micro avg': {'precision': 0.7376160990712074, 'recall': 0.7376160990712074, 'f1-score': 0.7376160990712074, 'support': 1292}, 'macro avg': {'precision': 0.6131132770906709, 'recall': 0.5128484239514719, 'f1-score': 0.461692470493671, 'support': 1292}, 'weighted avg': {'precision': 0.6752637943840344, 'recall': 0.7376160990712074, 'f1-score': 0.6454426923355764, 'support': 1292}}",0.31
5,clf,gboosting,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,{'n_estimators': 50},0.74,0.68,0.74,0.98,0.50,0.05,954.00,338.00,"{'0': {'precision': 0.7448330683624801, 'recall': 0.9821802935010482, 'f1-score': 0.8471971066907775, 'support': 954}, '1': {'precision': 0.5, 'recall': 0.05029585798816568, 'f1-score': 0.09139784946236558, 'support': 338}, 'micro avg': {'precision': 0.7383900928792569, 'recall': 0.7383900928792569, 'f1-score': 0.7383900928792569, 'support': 1292}, 'macro avg': {'precision': 0.62241653418124, 'recall': 0.5162380757446069, 'f1-score': 0.4692974780765716, 'support': 1292}, 'weighted avg': {'precision': 0.6807823120880852, 'recall': 0.7383900928792569, 'f1-score': 0.649472533205326, 'support': 1292}}",0.72
6,clf,ada,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.75,{'n_estimators': 10},0.74,0.66,0.74,0.98,0.44,0.04,954.00,338.00,"{'0': {'precision': 0.7422924901185771, 'recall': 0.9842767295597484, 'f1-score': 0.8463271744028843, 'support': 954}, '1': {'precision': 0.4444444444444444, 'recall': 0.03550295857988166, 'f1-score': 0.06575342465753425, 'support': 338}, 'micro avg': {'precision': 0.7360681114551083, 'recall': 0.7360681114551083, 'f1-score': 0.7360681114551083, 'support': 1292}, 'macro avg': {'precision': 0.5933684672815107, 'recall': 0.5098898440698151, 'f1-score': 0.4560402995302093, 'support': 1292}, 'weighted avg': {'precision': 0.6643724905536724, 'recall': 0.7360681114551083, 'f1-score': 0.6421213482311131, 'support': 1292}}",0.76
0,reg,kn,max,basic,ALL_NO_1_1_1,0_60,included,basic,17.65,{'n_neighbors': 81},,,,,,,,,18.37,2.77
1,reg,svr-rbf,max,basic,ALL_NO_1_1_1,0_60,included,basic,18.94,"{'C': 5, 'gamma': 4}",,,,,,,,,19.90,7.73
2,reg,dtree,max,basic,ALL_NO_1_1_1,0_60,included,basic,17.44,"{'max_depth': 4, 'min_samples_leaf': 100}",,,,,,,,,17.94,0.57
