,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,precision_above_TH,support_below_TH,support_above_TH,report,elapsed_time
0,clf,kn,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,{'n_neighbors': 61},0.74,0.72,0.75,0.65,943.00,349.00,"{'0': {'precision': 0.7483766233766234, 'recall': 0.9777306468716861, 'f1-score': 0.847816091954023, 'support': 943}, '1': {'precision': 0.65, 'recall': 0.11174785100286533, 'f1-score': 0.19070904645476772, 'support': 349}, 'micro avg': {'precision': 0.7438080495356038, 'recall': 0.7438080495356038, 'f1-score': 0.7438080495356038, 'support': 1292}, 'macro avg': {'precision': 0.6991883116883117, 'recall': 0.5447392489372758, 'f1-score': 0.5192625692043953, 'support': 1292}, 'weighted avg': {'precision': 0.721802752201359, 'recall': 0.7438080495356038, 'f1-score': 0.6703158141837133, 'support': 1292}}",2.33
1,clf,svc-rbf,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.73,0.53,0.73,0.00,943.00,349.00,"{'0': {'precision': 0.7298761609907121, 'recall': 1.0, 'f1-score': 0.8438478747203579, 'support': 943}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 349}, 'micro avg': {'precision': 0.7298761609907121, 'recall': 0.7298761609907121, 'f1-score': 0.7298761609907122, 'support': 1292}, 'macro avg': {'precision': 0.36493808049535603, 'recall': 0.5, 'f1-score': 0.42192393736017897, 'support': 1292}, 'weighted avg': {'precision': 0.5327192103825398, 'recall': 0.7298761609907121, 'f1-score': 0.6159044472610662, 'support': 1292}}",5.79
2,clf,dtree,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,"{'max_depth': 5, 'min_samples_leaf': 10}",0.75,0.72,0.76,0.62,943.00,349.00,"{'0': {'precision': 0.7596638655462185, 'recall': 0.95864262990456, 'f1-score': 0.8476324425691515, 'support': 943}, '1': {'precision': 0.6176470588235294, 'recall': 0.18051575931232092, 'f1-score': 0.27937915742793795, 'support': 349}, 'micro avg': {'precision': 0.7484520123839009, 'recall': 0.7484520123839009, 'f1-score': 0.7484520123839009, 'support': 1292}, 'macro avg': {'precision': 0.688655462184874, 'recall': 0.5695791946084404, 'f1-score': 0.5635057999985447, 'support': 1292}, 'weighted avg': {'precision': 0.7213017405104456, 'recall': 0.7484520123839009, 'f1-score': 0.6941336836571673, 'support': 1292}}",0.39
3,clf,rforest,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",0.75,0.75,0.75,0.75,943.00,349.00,"{'0': {'precision': 0.7538586515028433, 'recall': 0.9840933191940615, 'f1-score': 0.8537258509659613, 'support': 943}, '1': {'precision': 0.7540983606557377, 'recall': 0.1318051575931232, 'f1-score': 0.224390243902439, 'support': 349}, 'micro avg': {'precision': 0.7538699690402477, 'recall': 0.7538699690402477, 'f1-score': 0.7538699690402476, 'support': 1292}, 'macro avg': {'precision': 0.7539785060792905, 'recall': 0.5579492383935923, 'f1-score': 0.5390580474342002, 'support': 1292}, 'weighted avg': {'precision': 0.7539234026594687, 'recall': 0.7538699690402477, 'f1-score': 0.6837273007607219, 'support': 1292}}",18.91
4,clf,xgb,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.77,{'n_estimators': 50},0.76,0.74,0.77,0.68,943.00,349.00,"{'0': {'precision': 0.7657961246840775, 'recall': 0.9639448568398727, 'f1-score': 0.8535211267605635, 'support': 943}, '1': {'precision': 0.6761904761904762, 'recall': 0.2034383954154728, 'f1-score': 0.3127753303964758, 'support': 349}, 'micro avg': {'precision': 0.7585139318885449, 'recall': 0.7585139318885449, 'f1-score': 0.758513931888545, 'support': 1292}, 'macro avg': {'precision': 0.7209933004372768, 'recall': 0.5836916261276728, 'f1-score': 0.5831482285785197, 'support': 1292}, 'weighted avg': {'precision': 0.7415915029160691, 'recall': 0.7585139318885449, 'f1-score': 0.7074527963185615, 'support': 1292}}",0.23
5,clf,gboosting,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.77,{'n_estimators': 50},0.76,0.74,0.76,0.67,943.00,349.00,"{'0': {'precision': 0.7645079899074853, 'recall': 0.9639448568398727, 'f1-score': 0.852720450281426, 'support': 943}, '1': {'precision': 0.6699029126213593, 'recall': 0.1977077363896848, 'f1-score': 0.30530973451327437, 'support': 349}, 'micro avg': {'precision': 0.7569659442724458, 'recall': 0.7569659442724458, 'f1-score': 0.7569659442724458, 'support': 1292}, 'macro avg': {'precision': 0.7172054512644223, 'recall': 0.5808262966147788, 'f1-score': 0.5790150923973502, 'support': 1292}, 'weighted avg': {'precision': 0.7389529032411865, 'recall': 0.7569659442724458, 'f1-score': 0.7048517662233107, 'support': 1292}}",0.52
6,clf,ada,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,{'n_estimators': 100},0.76,0.73,0.77,0.63,943.00,349.00,"{'0': {'precision': 0.7706896551724138, 'recall': 0.9480381760339343, 'f1-score': 0.8502139800285308, 'support': 943}, '1': {'precision': 0.6287878787878788, 'recall': 0.23782234957020057, 'f1-score': 0.34511434511434513, 'support': 349}, 'micro avg': {'precision': 0.7561919504643962, 'recall': 0.7561919504643962, 'f1-score': 0.7561919504643962, 'support': 1292}, 'macro avg': {'precision': 0.6997387669801463, 'recall': 0.5929302628020674, 'f1-score': 0.597664162571438, 'support': 1292}, 'weighted avg': {'precision': 0.7323586025731856, 'recall': 0.7561919504643962, 'f1-score': 0.7137745275633212, 'support': 1292}}",0.63
0,reg,kn,max,basic,ALL_NO_1_1_1,0_60,included,basic,15.98,{'n_neighbors': 31},,,,,,,17.05,2.10
1,reg,svr-rbf,max,basic,ALL_NO_1_1_1,0_60,included,basic,17.99,"{'C': 5, 'gamma': 1}",,,,,,,19.49,5.40
2,reg,dtree,max,basic,ALL_NO_1_1_1,0_60,included,basic,15.68,"{'max_depth': 6, 'min_samples_leaf': 150}",,,,,,,16.62,0.34
