,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
0,clf,kn,max,basic,ALL_NO_1_1_1,30_240,included,basic,0.75,{'n_neighbors': 41},0.73,0.65,0.74,0.99,0.40,0.02,952.00,340.00,"{'0': {'precision': 0.7384494909945184, 'recall': 0.990546218487395, 'f1-score': 0.8461193360251233, 'support': 952}, '1': {'precision': 0.4, 'recall': 0.01764705882352941, 'f1-score': 0.03380281690140845, 'support': 340}, 'micro avg': {'precision': 0.7345201238390093, 'recall': 0.7345201238390093, 'f1-score': 0.7345201238390094, 'support': 1292}, 'macro avg': {'precision': 0.5692247454972592, 'recall': 0.5040966386554622, 'f1-score': 0.4399610764632659, 'support': 1292}, 'weighted avg': {'precision': 0.6493838354696452, 'recall': 0.7345201238390093, 'f1-score': 0.6323518309925669, 'support': 1292}}",8.04
1,clf,svc-rbf,max,basic,ALL_NO_1_1_1,30_240,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.74,0.54,0.74,1.00,0.00,0.00,952.00,340.00,"{'0': {'precision': 0.7368421052631579, 'recall': 1.0, 'f1-score': 0.8484848484848484, 'support': 952}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 340}, 'micro avg': {'precision': 0.7368421052631579, 'recall': 0.7368421052631579, 'f1-score': 0.7368421052631579, 'support': 1292}, 'macro avg': {'precision': 0.3684210526315789, 'recall': 0.5, 'f1-score': 0.4242424242424242, 'support': 1292}, 'weighted avg': {'precision': 0.5429362880886426, 'recall': 0.7368421052631579, 'f1-score': 0.6251993620414672, 'support': 1292}}",9.37
2,clf,dtree,max,basic,ALL_NO_1_1_1,30_240,included,basic,0.75,"{'max_depth': 3, 'min_samples_leaf': 50}",0.73,0.65,0.74,0.97,0.38,0.06,952.00,340.00,"{'0': {'precision': 0.7419354838709677, 'recall': 0.9663865546218487, 'f1-score': 0.8394160583941607, 'support': 952}, '1': {'precision': 0.38461538461538464, 'recall': 0.058823529411764705, 'f1-score': 0.1020408163265306, 'support': 340}, 'micro avg': {'precision': 0.7275541795665634, 'recall': 0.7275541795665634, 'f1-score': 0.7275541795665634, 'support': 1292}, 'macro avg': {'precision': 0.5632754342431762, 'recall': 0.5126050420168067, 'f1-score': 0.47072843736034564, 'support': 1292}, 'weighted avg': {'precision': 0.6479038788037091, 'recall': 0.7275541795665634, 'f1-score': 0.6453699420605737, 'support': 1292}}",0.73
3,clf,rforest,max,basic,ALL_NO_1_1_1,30_240,included,basic,0.75,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 10}",0.74,0.70,0.75,0.99,0.59,0.06,952.00,340.00,"{'0': {'precision': 0.7456279809220986, 'recall': 0.9852941176470589, 'f1-score': 0.8488687782805431, 'support': 952}, '1': {'precision': 0.5882352941176471, 'recall': 0.058823529411764705, 'f1-score': 0.10695187165775401, 'support': 340}, 'micro avg': {'precision': 0.7414860681114551, 'recall': 0.7414860681114551, 'f1-score': 0.7414860681114552, 'support': 1292}, 'macro avg': {'precision': 0.6669316375198728, 'recall': 0.5220588235294118, 'f1-score': 0.47791032496914854, 'support': 1292}, 'weighted avg': {'precision': 0.7042088528156639, 'recall': 0.7414860681114551, 'f1-score': 0.6536274870640197, 'support': 1292}}",28.45
4,clf,xgb,max,basic,ALL_NO_1_1_1,30_240,included,basic,0.76,{'n_estimators': 50},0.74,0.70,0.75,0.97,0.56,0.09,952.00,340.00,"{'0': {'precision': 0.7506072874493928, 'recall': 0.9737394957983193, 'f1-score': 0.8477366255144033, 'support': 952}, '1': {'precision': 0.5614035087719298, 'recall': 0.09411764705882353, 'f1-score': 0.16120906801007556, 'support': 340}, 'micro avg': {'precision': 0.7422600619195047, 'recall': 0.7422600619195047, 'f1-score': 0.7422600619195046, 'support': 1292}, 'macro avg': {'precision': 0.6560053981106613, 'recall': 0.5339285714285714, 'f1-score': 0.5044728467622395, 'support': 1292}, 'weighted avg': {'precision': 0.7008168193763762, 'recall': 0.7422600619195047, 'f1-score': 0.6670714788027381, 'support': 1292}}",0.48
5,clf,gboosting,max,basic,ALL_NO_1_1_1,30_240,included,basic,0.76,{'n_estimators': 100},0.73,0.66,0.75,0.95,0.43,0.10,952.00,340.00,"{'0': {'precision': 0.7481420313790256, 'recall': 0.9516806722689075, 'f1-score': 0.8377253814147019, 'support': 952}, '1': {'precision': 0.43209876543209874, 'recall': 0.10294117647058823, 'f1-score': 0.16627078384798097, 'support': 340}, 'micro avg': {'precision': 0.728328173374613, 'recall': 0.728328173374613, 'f1-score': 0.728328173374613, 'support': 1292}, 'macro avg': {'precision': 0.5901203984055622, 'recall': 0.5273109243697479, 'f1-score': 0.5019980826313414, 'support': 1292}, 'weighted avg': {'precision': 0.6649727508666764, 'recall': 0.728328173374613, 'f1-score': 0.66102680310767, 'support': 1292}}",1.48
6,clf,ada,max,basic,ALL_NO_1_1_1,30_240,included,basic,0.75,{'n_estimators': 200},0.71,0.65,0.75,0.92,0.38,0.14,952.00,340.00,"{'0': {'precision': 0.7495711835334476, 'recall': 0.9180672268907563, 'f1-score': 0.8253068932955618, 'support': 952}, '1': {'precision': 0.38095238095238093, 'recall': 0.1411764705882353, 'f1-score': 0.20600858369098715, 'support': 340}, 'micro avg': {'precision': 0.7136222910216719, 'recall': 0.7136222910216719, 'f1-score': 0.7136222910216719, 'support': 1292}, 'macro avg': {'precision': 0.5652617822429142, 'recall': 0.5296218487394958, 'f1-score': 0.5156577384932745, 'support': 1292}, 'weighted avg': {'precision': 0.6525662354857985, 'recall': 0.7136222910216719, 'f1-score': 0.6623336539259369, 'support': 1292}}",1.41
0,reg,kn,max,basic,ALL_NO_1_1_1,30_240,included,basic,26.42,{'n_neighbors': 51},,,,,,,,,26.57,8.21
1,reg,svr-rbf,max,basic,ALL_NO_1_1_1,30_240,included,basic,28.49,"{'C': 5, 'gamma': 1}",,,,,,,,,28.62,10.38
2,reg,dtree,max,basic,ALL_NO_1_1_1,30_240,included,basic,26.28,"{'max_depth': 5, 'min_samples_leaf': 200}",,,,,,,,,26.53,0.77
3,reg,rforest,max,basic,ALL_NO_1_1_1,30_240,included,basic,25.65,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 200}",,,,,,,,,26.03,67.69
4,reg,xgb,max,basic,ALL_NO_1_1_1,30_240,included,basic,25.90,{'n_estimators': 50},,,,,,,,,26.06,0.43
5,reg,gboosting,max,basic,ALL_NO_1_1_1,30_240,included,basic,25.93,{'n_estimators': 50},,,,,,,,,26.17,0.92
6,reg,ada,max,basic,ALL_NO_1_1_1,30_240,included,basic,28.54,{'n_estimators': 10},,,,,,,,,29.03,1.41
