,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,precision_above_TH,support_below_TH,support_above_TH,report,elapsed_time
2,clf,dtree,max,basic,ALL_NO_3_2_1,60_240,included,basic,0.75,"{'max_depth': 4, 'min_samples_leaf': 200}",0.75,0.71,0.76,0.56,956.00,336.00,"{'0': {'precision': 0.7579983593109105, 'recall': 0.9665271966527197, 'f1-score': 0.8496551724137931, 'support': 956}, '1': {'precision': 0.5616438356164384, 'recall': 0.12202380952380952, 'f1-score': 0.2004889975550122, 'support': 336}, 'micro avg': {'precision': 0.7469040247678018, 'recall': 0.7469040247678018, 'f1-score': 0.7469040247678018, 'support': 1292}, 'macro avg': {'precision': 0.6598210974636745, 'recall': 0.5442755030882646, 'f1-score': 0.5250720849844026, 'support': 1292}, 'weighted avg': {'precision': 0.7069340249755061, 'recall': 0.7469040247678018, 'f1-score': 0.6808317709025312, 'support': 1292}}",0.57
3,clf,rforest,max,basic,ALL_NO_3_2_1,60_240,included,basic,0.75,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",0.74,0.69,0.75,0.53,956.00,336.00,"{'0': {'precision': 0.7510072522159549, 'recall': 0.9748953974895398, 'f1-score': 0.8484296768320437, 'support': 956}, '1': {'precision': 0.5294117647058824, 'recall': 0.08035714285714286, 'f1-score': 0.13953488372093023, 'support': 336}, 'micro avg': {'precision': 0.7422600619195047, 'recall': 0.7422600619195047, 'f1-score': 0.7422600619195046, 'support': 1292}, 'macro avg': {'precision': 0.6402095084609186, 'recall': 0.5276262701733413, 'f1-score': 0.493982280276487, 'support': 1292}, 'weighted avg': {'precision': 0.6933787043805181, 'recall': 0.7422600619195047, 'f1-score': 0.6640731362087201, 'support': 1292}}",20.74
4,clf,xgb,max,basic,ALL_NO_3_2_1,60_240,included,basic,0.75,{'n_estimators': 50},0.74,0.70,0.76,0.52,956.00,336.00,"{'0': {'precision': 0.75850622406639, 'recall': 0.9560669456066946, 'f1-score': 0.8459046737621471, 'support': 956}, '1': {'precision': 0.5172413793103449, 'recall': 0.13392857142857142, 'f1-score': 0.21276595744680854, 'support': 336}, 'micro avg': {'precision': 0.7422600619195047, 'recall': 0.7422600619195047, 'f1-score': 0.7422600619195046, 'support': 1292}, 'macro avg': {'precision': 0.6378738016883674, 'recall': 0.544997758517633, 'f1-score': 0.5293353156044778, 'support': 1292}, 'weighted avg': {'precision': 0.695762425430143, 'recall': 0.7422600619195047, 'f1-score': 0.6812494038844739, 'support': 1292}}",0.35
5,clf,gboosting,max,basic,ALL_NO_3_2_1,60_240,included,basic,0.75,{'n_estimators': 50},0.74,0.70,0.76,0.52,956.00,336.00,"{'0': {'precision': 0.7593671940049959, 'recall': 0.9539748953974896, 'f1-score': 0.8456189151599445, 'support': 956}, '1': {'precision': 0.5164835164835165, 'recall': 0.13988095238095238, 'f1-score': 0.22014051522248243, 'support': 336}, 'micro avg': {'precision': 0.7422600619195047, 'recall': 0.7422600619195047, 'f1-score': 0.7422600619195046, 'support': 1292}, 'macro avg': {'precision': 0.6379253552442562, 'recall': 0.546927923889221, 'f1-score': 0.5328797151912135, 'support': 1292}, 'weighted avg': {'precision': 0.696202398612413, 'recall': 0.7422600619195047, 'f1-score': 0.6829558018635148, 'support': 1292}}",0.84
6,clf,ada,max,basic,ALL_NO_3_2_1,60_240,included,basic,0.74,{'n_estimators': 50},0.73,0.69,0.76,0.47,956.00,336.00,"{'0': {'precision': 0.7637931034482759, 'recall': 0.9267782426778243, 'f1-score': 0.837429111531191, 'support': 956}, '1': {'precision': 0.4696969696969697, 'recall': 0.18452380952380953, 'f1-score': 0.26495726495726496, 'support': 336}, 'micro avg': {'precision': 0.7337461300309598, 'recall': 0.7337461300309598, 'f1-score': 0.7337461300309598, 'support': 1292}, 'macro avg': {'precision': 0.6167450365726228, 'recall': 0.555651026100817, 'f1-score': 0.551193188244228, 'support': 1292}, 'weighted avg': {'precision': 0.6873098983860166, 'recall': 0.7337461300309598, 'f1-score': 0.6885509842488078, 'support': 1292}}",0.86
0,reg,kn,max,basic,ALL_NO_3_2_1,60_240,included,basic,22.81,{'n_neighbors': 101},,,,,,,23.30,5.98
1,reg,svr-rbf,max,basic,ALL_NO_3_2_1,60_240,included,basic,24.84,"{'C': 5, 'gamma': 1}",,,,,,,25.08,6.92
2,reg,dtree,max,basic,ALL_NO_3_2_1,60_240,included,basic,22.53,"{'max_depth': 4, 'min_samples_leaf': 200}",,,,,,,22.90,0.56
3,reg,rforest,max,basic,ALL_NO_3_2_1,60_240,included,basic,22.06,"{'max_depth': 7, 'min_samples_leaf': 30, 'n_estimators': 200}",,,,,,,22.84,57.63
4,reg,xgb,max,basic,ALL_NO_3_2_1,60_240,included,basic,22.21,{'n_estimators': 50},,,,,,,22.85,0.34
5,reg,gboosting,max,basic,ALL_NO_3_2_1,60_240,included,basic,22.25,{'n_estimators': 50},,,,,,,22.77,0.76
6,reg,ada,max,basic,ALL_NO_3_2_1,60_240,included,basic,24.81,{'n_estimators': 10},,,,,,,26.12,1.10
0,clf,kn,min,basic,ALL_NO_3_2_1,60_240,included,basic,0.76,{'n_neighbors': 61},0.76,0.68,0.76,0.43,982.00,310.00,"{'0': {'precision': 0.7610894941634241, 'recall': 0.9959266802443992, 'f1-score': 0.8628142920158799, 'support': 982}, '1': {'precision': 0.42857142857142855, 'recall': 0.00967741935483871, 'f1-score': 0.018927444794952678, 'support': 310}, 'micro avg': {'precision': 0.7592879256965944, 'recall': 0.7592879256965944, 'f1-score': 0.7592879256965943, 'support': 1292}, 'macro avg': {'precision': 0.5948304613674263, 'recall': 0.502802049799619, 'f1-score': 0.4408708684054163, 'support': 1292}, 'weighted avg': {'precision': 0.6813057477752518, 'recall': 0.7592879256965944, 'f1-score': 0.6603337017384128, 'support': 1292}}",6.32
1,clf,svc-rbf,min,basic,ALL_NO_3_2_1,60_240,included,basic,0.76,"{'C': 1, 'gamma': 1}",0.76,0.58,0.76,0.00,982.00,310.00,"{'0': {'precision': 0.760061919504644, 'recall': 1.0, 'f1-score': 0.8636763412489007, 'support': 982}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 310}, 'micro avg': {'precision': 0.760061919504644, 'recall': 0.760061919504644, 'f1-score': 0.760061919504644, 'support': 1292}, 'macro avg': {'precision': 0.380030959752322, 'recall': 0.5, 'f1-score': 0.43183817062445035, 'support': 1292}, 'weighted avg': {'precision': 0.5776941214810839, 'recall': 0.760061919504644, 'f1-score': 0.6564474977603874, 'support': 1292}}",7.45
2,clf,dtree,min,basic,ALL_NO_3_2_1,60_240,included,basic,0.76,"{'max_depth': 4, 'min_samples_leaf': 200}",0.74,0.65,0.76,0.30,982.00,310.00,"{'0': {'precision': 0.7624798711755234, 'recall': 0.9643584521384929, 'f1-score': 0.8516187050359714, 'support': 982}, '1': {'precision': 0.3, 'recall': 0.04838709677419355, 'f1-score': 0.08333333333333333, 'support': 310}, 'micro avg': {'precision': 0.7445820433436533, 'recall': 0.7445820433436533, 'f1-score': 0.7445820433436534, 'support': 1292}, 'macro avg': {'precision': 0.5312399355877617, 'recall': 0.5063727744563432, 'f1-score': 0.46747601918465237, 'support': 1292}, 'weighted avg': {'precision': 0.6515133386179288, 'recall': 0.7445820433436533, 'f1-score': 0.6672777876769793, 'support': 1292}}",0.58
3,clf,rforest,min,basic,ALL_NO_3_2_1,60_240,included,basic,0.76,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",0.76,0.70,0.77,0.48,982.00,310.00,"{'0': {'precision': 0.7664813343923749, 'recall': 0.9826883910386965, 'f1-score': 0.861222668451584, 'support': 982}, '1': {'precision': 0.48484848484848486, 'recall': 0.05161290322580645, 'f1-score': 0.09329446064139942, 'support': 310}, 'micro avg': {'precision': 0.7592879256965944, 'recall': 0.7592879256965944, 'f1-score': 0.7592879256965943, 'support': 1292}, 'macro avg': {'precision': 0.6256649096204299, 'recall': 0.5171506471322515, 'f1-score': 0.47725856454649174, 'support': 1292}, 'weighted avg': {'precision': 0.6989068890683765, 'recall': 0.7592879256965944, 'f1-score': 0.6769674483113695, 'support': 1292}}",20.55
4,clf,xgb,min,basic,ALL_NO_3_2_1,60_240,included,basic,0.76,{'n_estimators': 50},0.76,0.71,0.77,0.50,982.00,310.00,"{'0': {'precision': 0.77140549273021, 'recall': 0.9725050916496945, 'f1-score': 0.8603603603603602, 'support': 982}, '1': {'precision': 0.5, 'recall': 0.08709677419354839, 'f1-score': 0.14835164835164835, 'support': 310}, 'micro avg': {'precision': 0.760061919504644, 'recall': 0.760061919504644, 'f1-score': 0.760061919504644, 'support': 1292}, 'macro avg': {'precision': 0.635702746365105, 'recall': 0.5298009329216214, 'f1-score': 0.5043560043560043, 'support': 1292}, 'weighted avg': {'precision': 0.7062849797686271, 'recall': 0.760061919504644, 'f1-score': 0.6895223567050192, 'support': 1292}}",0.35
5,clf,gboosting,min,basic,ALL_NO_3_2_1,60_240,included,basic,0.76,{'n_estimators': 50},0.76,0.71,0.77,0.51,982.00,310.00,"{'0': {'precision': 0.772911597729116, 'recall': 0.9704684317718941, 'f1-score': 0.8604966139954853, 'support': 982}, '1': {'precision': 0.5084745762711864, 'recall': 0.0967741935483871, 'f1-score': 0.16260162601626016, 'support': 310}, 'micro avg': {'precision': 0.7608359133126935, 'recall': 0.7608359133126935, 'f1-score': 0.7608359133126935, 'support': 1292}, 'macro avg': {'precision': 0.6406930870001513, 'recall': 0.5336213126601406, 'f1-score': 0.5115491200058727, 'support': 1292}, 'weighted avg': {'precision': 0.7094630863885911, 'recall': 0.7608359133126935, 'f1-score': 0.6930450301924204, 'support': 1292}}",0.85
6,clf,ada,min,basic,ALL_NO_3_2_1,60_240,included,basic,0.76,{'n_estimators': 10},0.74,0.68,0.77,0.40,982.00,310.00,"{'0': {'precision': 0.7739495798319328, 'recall': 0.9378818737270875, 'f1-score': 0.8480662983425414, 'support': 982}, '1': {'precision': 0.4019607843137255, 'recall': 0.13225806451612904, 'f1-score': 0.19902912621359226, 'support': 310}, 'micro avg': {'precision': 0.7445820433436533, 'recall': 0.7445820433436533, 'f1-score': 0.7445820433436534, 'support': 1292}, 'macro avg': {'precision': 0.5879551820728292, 'recall': 0.5350699691216083, 'f1-score': 0.5235477122780668, 'support': 1292}, 'weighted avg': {'precision': 0.6846953022695147, 'recall': 0.7445820433436533, 'f1-score': 0.6923375650917875, 'support': 1292}}",0.83
0,reg,kn,min,basic,ALL_NO_3_2_1,60_240,included,basic,21.97,{'n_neighbors': 61},,,,,,,20.58,6.05
1,reg,svr-rbf,min,basic,ALL_NO_3_2_1,60_240,included,basic,24.04,"{'C': 5, 'gamma': 2}",,,,,,,22.20,6.96
2,reg,dtree,min,basic,ALL_NO_3_2_1,60_240,included,basic,21.42,"{'max_depth': 6, 'min_samples_leaf': 150}",,,,,,,20.43,0.58
3,reg,rforest,min,basic,ALL_NO_3_2_1,60_240,included,basic,21.04,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 50}",,,,,,,20.11,57.34
4,reg,xgb,min,basic,ALL_NO_3_2_1,60_240,included,basic,21.21,{'n_estimators': 50},,,,,,,20.07,0.34
5,reg,gboosting,min,basic,ALL_NO_3_2_1,60_240,included,basic,21.24,{'n_estimators': 50},,,,,,,20.29,0.75
6,reg,ada,min,basic,ALL_NO_3_2_1,60_240,included,basic,23.26,{'n_estimators': 10},,,,,,,22.96,0.98
0,clf,kn,max,all,ALL_NO_3_2_1,60_240,included,basic,0.74,{'n_neighbors': 51},0.74,0.68,0.74,0.50,956.00,336.00,"{'0': {'precision': 0.7444794952681388, 'recall': 0.9874476987447699, 'f1-score': 0.8489208633093527, 'support': 956}, '1': {'precision': 0.5, 'recall': 0.03571428571428571, 'f1-score': 0.06666666666666667, 'support': 336}, 'micro avg': {'precision': 0.739938080495356, 'recall': 0.739938080495356, 'f1-score': 0.739938080495356, 'support': 1292}, 'macro avg': {'precision': 0.6222397476340694, 'recall': 0.5115809922295278, 'f1-score': 0.45779376498800967, 'support': 1292}, 'weighted avg': {'precision': 0.6808996884491801, 'recall': 0.739938080495356, 'f1-score': 0.6454863353898925, 'support': 1292}}",6.50
1,clf,svc-rbf,max,all,ALL_NO_3_2_1,60_240,included,basic,0.74,"{'C': 1, 'gamma': 1}",0.74,0.55,0.74,0.00,956.00,336.00,"{'0': {'precision': 0.739938080495356, 'recall': 1.0, 'f1-score': 0.8505338078291814, 'support': 956}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 336}, 'micro avg': {'precision': 0.739938080495356, 'recall': 0.739938080495356, 'f1-score': 0.739938080495356, 'support': 1292}, 'macro avg': {'precision': 0.369969040247678, 'recall': 0.5, 'f1-score': 0.4252669039145907, 'support': 1292}, 'weighted avg': {'precision': 0.547508362967152, 'recall': 0.739938080495356, 'f1-score': 0.6293423531615305, 'support': 1292}}",7.78
2,clf,dtree,max,all,ALL_NO_3_2_1,60_240,included,basic,0.75,"{'max_depth': 4, 'min_samples_leaf': 200}",0.75,0.71,0.76,0.56,956.00,336.00,"{'0': {'precision': 0.7579983593109105, 'recall': 0.9665271966527197, 'f1-score': 0.8496551724137931, 'support': 956}, '1': {'precision': 0.5616438356164384, 'recall': 0.12202380952380952, 'f1-score': 0.2004889975550122, 'support': 336}, 'micro avg': {'precision': 0.7469040247678018, 'recall': 0.7469040247678018, 'f1-score': 0.7469040247678018, 'support': 1292}, 'macro avg': {'precision': 0.6598210974636745, 'recall': 0.5442755030882646, 'f1-score': 0.5250720849844026, 'support': 1292}, 'weighted avg': {'precision': 0.7069340249755061, 'recall': 0.7469040247678018, 'f1-score': 0.6808317709025312, 'support': 1292}}",0.61
3,clf,rforest,max,all,ALL_NO_3_2_1,60_240,included,basic,0.75,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 100}",0.75,0.71,0.75,0.59,956.00,336.00,"{'0': {'precision': 0.7544426494345718, 'recall': 0.9769874476987448, 'f1-score': 0.8514129443938013, 'support': 956}, '1': {'precision': 0.5925925925925926, 'recall': 0.09523809523809523, 'f1-score': 0.1641025641025641, 'support': 336}, 'micro avg': {'precision': 0.7476780185758514, 'recall': 0.7476780185758514, 'f1-score': 0.7476780185758514, 'support': 1292}, 'macro avg': {'precision': 0.6735176210135823, 'recall': 0.53611277146842, 'f1-score': 0.5077577542481827, 'support': 1292}, 'weighted avg': {'precision': 0.7123516129803109, 'recall': 0.7476780185758514, 'f1-score': 0.6726696875997954, 'support': 1292}}",22.32
4,clf,xgb,max,all,ALL_NO_3_2_1,60_240,included,basic,0.75,{'n_estimators': 50},0.74,0.69,0.76,0.48,956.00,336.00,"{'0': {'precision': 0.7568692756036636, 'recall': 0.950836820083682, 'f1-score': 0.842837273991655, 'support': 956}, '1': {'precision': 0.4835164835164835, 'recall': 0.13095238095238096, 'f1-score': 0.20608899297423888, 'support': 336}, 'micro avg': {'precision': 0.7376160990712074, 'recall': 0.7376160990712074, 'f1-score': 0.7376160990712074, 'support': 1292}, 'macro avg': {'precision': 0.6201928795600735, 'recall': 0.5408946005180315, 'f1-score': 0.5244631334829469, 'support': 1292}, 'weighted avg': {'precision': 0.6857806237915176, 'recall': 0.7376160990712074, 'f1-score': 0.6772432937889833, 'support': 1292}}",0.36
5,clf,gboosting,max,all,ALL_NO_3_2_1,60_240,included,basic,0.74,{'n_estimators': 200},0.74,0.69,0.77,0.49,956.00,336.00,"{'0': {'precision': 0.7673611111111112, 'recall': 0.9246861924686193, 'f1-score': 0.838709677419355, 'support': 956}, '1': {'precision': 0.4857142857142857, 'recall': 0.20238095238095238, 'f1-score': 0.2857142857142857, 'support': 336}, 'micro avg': {'precision': 0.7368421052631579, 'recall': 0.7368421052631579, 'f1-score': 0.7368421052631579, 'support': 1292}, 'macro avg': {'precision': 0.6265376984126985, 'recall': 0.5635335724247859, 'f1-score': 0.5622119815668203, 'support': 1292}, 'weighted avg': {'precision': 0.6941154970760234, 'recall': 0.7368421052631579, 'f1-score': 0.6948966343753122, 'support': 1292}}",0.98
6,clf,ada,max,all,ALL_NO_3_2_1,60_240,included,basic,0.74,{'n_estimators': 50},0.74,0.69,0.76,0.48,956.00,336.00,"{'0': {'precision': 0.764402407566638, 'recall': 0.9299163179916318, 'f1-score': 0.8390750353940537, 'support': 956}, '1': {'precision': 0.4806201550387597, 'recall': 0.18452380952380953, 'f1-score': 0.2666666666666667, 'support': 336}, 'micro avg': {'precision': 0.7360681114551083, 'recall': 0.7360681114551083, 'f1-score': 0.7360681114551083, 'support': 1292}, 'macro avg': {'precision': 0.6225112813026988, 'recall': 0.5572200637577207, 'f1-score': 0.5528708510303602, 'support': 1292}, 'weighted avg': {'precision': 0.6906014502528864, 'recall': 0.7360681114551083, 'f1-score': 0.6902134162822874, 'support': 1292}}",0.91
0,reg,kn,max,all,ALL_NO_3_2_1,60_240,included,basic,22.78,{'n_neighbors': 81},,,,,,,23.25,7.21
1,reg,svr-rbf,max,all,ALL_NO_3_2_1,60_240,included,basic,24.84,"{'C': 5, 'gamma': 1}",,,,,,,25.08,7.52
2,reg,dtree,max,all,ALL_NO_3_2_1,60_240,included,basic,22.53,"{'max_depth': 4, 'min_samples_leaf': 200}",,,,,,,22.90,0.62
3,reg,rforest,max,all,ALL_NO_3_2_1,60_240,included,basic,22.07,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,22.84,60.41
4,reg,xgb,max,all,ALL_NO_3_2_1,60_240,included,basic,22.24,{'n_estimators': 50},,,,,,,22.95,0.37
5,reg,gboosting,max,all,ALL_NO_3_2_1,60_240,included,basic,22.26,{'n_estimators': 50},,,,,,,22.99,0.82
6,reg,ada,max,all,ALL_NO_3_2_1,60_240,included,basic,24.63,{'n_estimators': 10},,,,,,,25.79,1.23
0,clf,kn,min,all,ALL_NO_3_2_1,60_240,included,basic,0.76,{'n_neighbors': 61},0.76,0.66,0.76,0.33,982.00,310.00,"{'0': {'precision': 0.76049766718507, 'recall': 0.9959266802443992, 'f1-score': 0.8624338624338624, 'support': 982}, '1': {'precision': 0.3333333333333333, 'recall': 0.0064516129032258064, 'f1-score': 0.012658227848101266, 'support': 310}, 'micro avg': {'precision': 0.7585139318885449, 'recall': 0.7585139318885449, 'f1-score': 0.758513931888545, 'support': 1292}, 'macro avg': {'precision': 0.5469155002592017, 'recall': 0.5011891465738125, 'f1-score': 0.43754604514098183, 'support': 1292}, 'weighted avg': {'precision': 0.6580046768646068, 'recall': 0.7585139318885449, 'f1-score': 0.6585403278196319, 'support': 1292}}",6.67
1,clf,svc-rbf,min,all,ALL_NO_3_2_1,60_240,included,basic,0.76,"{'C': 1, 'gamma': 1}",0.76,0.58,0.76,0.00,982.00,310.00,"{'0': {'precision': 0.760061919504644, 'recall': 1.0, 'f1-score': 0.8636763412489007, 'support': 982}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 310}, 'micro avg': {'precision': 0.760061919504644, 'recall': 0.760061919504644, 'f1-score': 0.760061919504644, 'support': 1292}, 'macro avg': {'precision': 0.380030959752322, 'recall': 0.5, 'f1-score': 0.43183817062445035, 'support': 1292}, 'weighted avg': {'precision': 0.5776941214810839, 'recall': 0.760061919504644, 'f1-score': 0.6564474977603874, 'support': 1292}}",7.47
2,clf,dtree,min,all,ALL_NO_3_2_1,60_240,included,basic,0.76,"{'max_depth': 4, 'min_samples_leaf': 200}",0.74,0.65,0.76,0.30,982.00,310.00,"{'0': {'precision': 0.7624798711755234, 'recall': 0.9643584521384929, 'f1-score': 0.8516187050359714, 'support': 982}, '1': {'precision': 0.3, 'recall': 0.04838709677419355, 'f1-score': 0.08333333333333333, 'support': 310}, 'micro avg': {'precision': 0.7445820433436533, 'recall': 0.7445820433436533, 'f1-score': 0.7445820433436534, 'support': 1292}, 'macro avg': {'precision': 0.5312399355877617, 'recall': 0.5063727744563432, 'f1-score': 0.46747601918465237, 'support': 1292}, 'weighted avg': {'precision': 0.6515133386179288, 'recall': 0.7445820433436533, 'f1-score': 0.6672777876769793, 'support': 1292}}",0.61
3,clf,rforest,min,all,ALL_NO_3_2_1,60_240,included,basic,0.76,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 200}",0.76,0.71,0.77,0.54,982.00,310.00,"{'0': {'precision': 0.7666139240506329, 'recall': 0.9867617107942973, 'f1-score': 0.8628673196794301, 'support': 982}, '1': {'precision': 0.5357142857142857, 'recall': 0.04838709677419355, 'f1-score': 0.08875739644970415, 'support': 310}, 'micro avg': {'precision': 0.7616099071207431, 'recall': 0.7616099071207431, 'f1-score': 0.7616099071207431, 'support': 1292}, 'macro avg': {'precision': 0.6511641048824592, 'recall': 0.5175744037842455, 'f1-score': 0.4758123580645671, 'support': 1292}, 'weighted avg': {'precision': 0.7112123080411378, 'recall': 0.7616099071207431, 'f1-score': 0.6771288706072822, 'support': 1292}}",24.09
4,clf,xgb,min,all,ALL_NO_3_2_1,60_240,included,basic,0.76,{'n_estimators': 50},0.76,0.71,0.78,0.51,982.00,310.00,"{'0': {'precision': 0.7753267973856209, 'recall': 0.9663951120162932, 'f1-score': 0.8603807796917496, 'support': 982}, '1': {'precision': 0.5147058823529411, 'recall': 0.11290322580645161, 'f1-score': 0.18518518518518517, 'support': 310}, 'micro avg': {'precision': 0.7616099071207431, 'recall': 0.7616099071207431, 'f1-score': 0.7616099071207431, 'support': 1292}, 'macro avg': {'precision': 0.645016339869281, 'recall': 0.5396491689113724, 'f1-score': 0.5227829824384674, 'support': 1292}, 'weighted avg': {'precision': 0.7127939152957364, 'recall': 0.7616099071207431, 'f1-score': 0.6983756447869238, 'support': 1292}}",0.40
5,clf,gboosting,min,all,ALL_NO_3_2_1,60_240,included,basic,0.76,{'n_estimators': 50},0.76,0.71,0.77,0.52,982.00,310.00,"{'0': {'precision': 0.7744299674267101, 'recall': 0.9684317718940937, 'f1-score': 0.8606334841628961, 'support': 982}, '1': {'precision': 0.515625, 'recall': 0.1064516129032258, 'f1-score': 0.1764705882352941, 'support': 310}, 'micro avg': {'precision': 0.7616099071207431, 'recall': 0.7616099071207431, 'f1-score': 0.7616099071207431, 'support': 1292}, 'macro avg': {'precision': 0.645027483713355, 'recall': 0.5374416923986598, 'f1-score': 0.5185520361990951, 'support': 1292}, 'weighted avg': {'precision': 0.7123328003196822, 'recall': 0.7616099071207431, 'f1-score': 0.6964767521678833, 'support': 1292}}",1.01
6,clf,ada,min,all,ALL_NO_3_2_1,60_240,included,basic,0.76,{'n_estimators': 10},0.74,0.68,0.77,0.40,982.00,310.00,"{'0': {'precision': 0.7739495798319328, 'recall': 0.9378818737270875, 'f1-score': 0.8480662983425414, 'support': 982}, '1': {'precision': 0.4019607843137255, 'recall': 0.13225806451612904, 'f1-score': 0.19902912621359226, 'support': 310}, 'micro avg': {'precision': 0.7445820433436533, 'recall': 0.7445820433436533, 'f1-score': 0.7445820433436534, 'support': 1292}, 'macro avg': {'precision': 0.5879551820728292, 'recall': 0.5350699691216083, 'f1-score': 0.5235477122780668, 'support': 1292}, 'weighted avg': {'precision': 0.6846953022695147, 'recall': 0.7445820433436533, 'f1-score': 0.6923375650917875, 'support': 1292}}",0.98
0,reg,kn,min,all,ALL_NO_3_2_1,60_240,included,basic,21.96,{'n_neighbors': 51},,,,,,,20.58,8.50
1,reg,svr-rbf,min,all,ALL_NO_3_2_1,60_240,included,basic,24.04,"{'C': 5, 'gamma': 1}",,,,,,,22.20,7.84
2,reg,dtree,min,all,ALL_NO_3_2_1,60_240,included,basic,21.46,"{'max_depth': 6, 'min_samples_leaf': 150}",,,,,,,20.42,0.62
3,reg,rforest,min,all,ALL_NO_3_2_1,60_240,included,basic,21.04,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 50}",,,,,,,20.08,64.97
4,reg,xgb,min,all,ALL_NO_3_2_1,60_240,included,basic,21.14,{'n_estimators': 50},,,,,,,20.22,0.38
5,reg,gboosting,min,all,ALL_NO_3_2_1,60_240,included,basic,21.23,{'n_estimators': 50},,,,,,,20.48,0.84
6,reg,ada,min,all,ALL_NO_3_2_1,60_240,included,basic,23.72,{'n_estimators': 10},,,,,,,23.05,1.06
0,clf,kn,max,basic,ALL_YES_1_1_1,60_240,included,basic,0.77,{'n_neighbors': 51},0.74,0.70,0.75,0.56,682.00,235.00,"{'0': {'precision': 0.7466960352422908, 'recall': 0.9941348973607038, 'f1-score': 0.8528301886792452, 'support': 682}, '1': {'precision': 0.5555555555555556, 'recall': 0.02127659574468085, 'f1-score': 0.040983606557377046, 'support': 235}, 'micro avg': {'precision': 0.7448200654307524, 'recall': 0.7448200654307524, 'f1-score': 0.7448200654307524, 'support': 917}, 'macro avg': {'precision': 0.6511257953989231, 'recall': 0.5077057465526923, 'f1-score': 0.44690689761831115, 'support': 917}, 'weighted avg': {'precision': 0.6977123790521242, 'recall': 0.7448200654307524, 'f1-score': 0.6447779020940336, 'support': 917}}",4.98
1,clf,svc-rbf,max,basic,ALL_YES_1_1_1,60_240,included,basic,0.77,"{'C': 1, 'gamma': 1}",0.74,0.55,0.74,0.00,682.00,235.00,"{'0': {'precision': 0.7437295528898582, 'recall': 1.0, 'f1-score': 0.8530331457160725, 'support': 682}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 235}, 'micro avg': {'precision': 0.7437295528898582, 'recall': 0.7437295528898582, 'f1-score': 0.7437295528898581, 'support': 917}, 'macro avg': {'precision': 0.3718647764449291, 'recall': 0.5, 'f1-score': 0.42651657285803624, 'support': 917}, 'weighted avg': {'precision': 0.5531336478417485, 'recall': 0.7437295528898582, 'f1-score': 0.6344259600636438, 'support': 917}}",3.87
2,clf,dtree,max,basic,ALL_YES_1_1_1,60_240,included,basic,0.77,"{'max_depth': 2, 'min_samples_leaf': 100}",0.74,0.55,0.74,0.00,682.00,235.00,"{'0': {'precision': 0.7437295528898582, 'recall': 1.0, 'f1-score': 0.8530331457160725, 'support': 682}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 235}, 'micro avg': {'precision': 0.7437295528898582, 'recall': 0.7437295528898582, 'f1-score': 0.7437295528898581, 'support': 917}, 'macro avg': {'precision': 0.3718647764449291, 'recall': 0.5, 'f1-score': 0.42651657285803624, 'support': 917}, 'weighted avg': {'precision': 0.5531336478417485, 'recall': 0.7437295528898582, 'f1-score': 0.6344259600636438, 'support': 917}}",0.41
3,clf,rforest,max,basic,ALL_YES_1_1_1,60_240,included,basic,0.77,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",0.75,0.73,0.75,0.67,682.00,235.00,"{'0': {'precision': 0.7547592385218365, 'recall': 0.9882697947214076, 'f1-score': 0.8558730158730158, 'support': 682}, '1': {'precision': 0.6666666666666666, 'recall': 0.06808510638297872, 'f1-score': 0.12355212355212356, 'support': 235}, 'micro avg': {'precision': 0.752453653217012, 'recall': 0.752453653217012, 'f1-score': 0.7524536532170119, 'support': 917}, 'macro avg': {'precision': 0.7107129525942515, 'recall': 0.5281774505521932, 'f1-score': 0.48971256971256966, 'support': 917}, 'weighted avg': {'precision': 0.7321837157454297, 'recall': 0.752453653217012, 'f1-score': 0.6682008133698427, 'support': 917}}",16.69
