,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,0_30,included,basic,0.55,{'n_neighbors': 51},0.55,0.50,0.41,0.57,0.44,303.00,686.00,303.00,"{'0': {'precision': 0.4112903225806452, 'recall': 0.16831683168316833, 'f1-score': 0.23887587822014053, 'support': 303}, '1': {'precision': 0.5654496883348175, 'recall': 0.9256559766763849, 'f1-score': 0.7020453289110007, 'support': 686}, '2': {'precision': 0.4444444444444444, 'recall': 0.066006600660066, 'f1-score': 0.11494252873563217, 'support': 303}, 'micro avg': {'precision': 0.5464396284829721, 'recall': 0.5464396284829721, 'f1-score': 0.5464396284829721, 'support': 1292}, 'macro avg': {'precision': 0.4737281517866357, 'recall': 0.38665980300653974, 'f1-score': 0.3519545786222578, 'support': 1292}, 'weighted avg': {'precision': 0.500918050004866, 'recall': 0.5464396284829721, 'f1-score': 0.45573535057317766, 'support': 1292}}",1.81
1,clf,svc-rbf,basic,ALL_NO_1_1_1,0_30,included,basic,0.55,"{'C': 1, 'gamma': 1}",0.53,0.28,0.00,0.53,0.00,303.00,686.00,303.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 303}, '1': {'precision': 0.5309597523219814, 'recall': 1.0, 'f1-score': 0.6936299292214358, 'support': 686}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 303}, 'micro avg': {'precision': 0.5309597523219814, 'recall': 0.5309597523219814, 'f1-score': 0.5309597523219814, 'support': 1292}, 'macro avg': {'precision': 0.17698658410732715, 'recall': 0.3333333333333333, 'f1-score': 0.23120997640714527, 'support': 1292}, 'weighted avg': {'precision': 0.28191825858581987, 'recall': 0.5309597523219814, 'f1-score': 0.3682895754225271, 'support': 1292}}",6.84
2,clf,dtree,basic,ALL_NO_1_1_1,0_30,included,basic,0.55,"{'max_depth': 5, 'min_samples_leaf': 200}",0.53,0.46,0.33,0.58,0.32,303.00,686.00,303.00,"{'0': {'precision': 0.32926829268292684, 'recall': 0.0891089108910891, 'f1-score': 0.14025974025974025, 'support': 303}, '1': {'precision': 0.5772128060263654, 'recall': 0.8935860058309038, 'f1-score': 0.7013729977116704, 'support': 686}, '2': {'precision': 0.32432432432432434, 'recall': 0.15841584158415842, 'f1-score': 0.21286031042128603, 'support': 303}, 'micro avg': {'precision': 0.5325077399380805, 'recall': 0.5325077399380805, 'f1-score': 0.5325077399380805, 'support': 1292}, 'macro avg': {'precision': 0.41026847434453884, 'recall': 0.3803702527687171, 'f1-score': 0.35149768279756555, 'support': 1292}, 'weighted avg': {'precision': 0.4597573900056376, 'recall': 0.5325077399380805, 'f1-score': 0.4552145911660657, 'support': 1292}}",0.34
3,clf,rforest,basic,ALL_NO_1_1_1,0_30,included,basic,0.56,"{'max_depth': 7, 'min_samples_leaf': 30, 'n_estimators': 10}",0.55,0.50,0.38,0.56,0.48,303.00,686.00,303.00,"{'0': {'precision': 0.38372093023255816, 'recall': 0.10891089108910891, 'f1-score': 0.16966580976863752, 'support': 303}, '1': {'precision': 0.5626086956521739, 'recall': 0.9431486880466472, 'f1-score': 0.70479302832244, 'support': 686}, '2': {'precision': 0.48214285714285715, 'recall': 0.0891089108910891, 'f1-score': 0.15041782729805012, 'support': 303}, 'micro avg': {'precision': 0.5472136222910217, 'recall': 0.5472136222910217, 'f1-score': 0.5472136222910217, 'support': 1292}, 'macro avg': {'precision': 0.47615749434252974, 'recall': 0.3803894966756151, 'f1-score': 0.3416255551297092, 'support': 1292}, 'weighted avg': {'precision': 0.5017850563406673, 'recall': 0.5472136222910217, 'f1-score': 0.44928278596006205, 'support': 1292}}",15.13
4,clf,xgb,basic,ALL_NO_1_1_1,0_30,included,basic,0.56,{'n_estimators': 100},0.54,0.48,0.37,0.57,0.39,303.00,686.00,303.00,"{'0': {'precision': 0.3684210526315789, 'recall': 0.13861386138613863, 'f1-score': 0.20143884892086333, 'support': 303}, '1': {'precision': 0.5697247706422018, 'recall': 0.9052478134110787, 'f1-score': 0.6993243243243243, 'support': 686}, '2': {'precision': 0.38636363636363635, 'recall': 0.11221122112211221, 'f1-score': 0.17391304347826086, 'support': 303}, 'micro avg': {'precision': 0.5394736842105263, 'recall': 0.5394736842105263, 'f1-score': 0.5394736842105263, 'support': 1292}, 'macro avg': {'precision': 0.4415031532124723, 'recall': 0.38535763197310985, 'f1-score': 0.3582254055744829, 'support': 1292}, 'weighted avg': {'precision': 0.4795131218468272, 'recall': 0.5394736842105263, 'f1-score': 0.45934064232462934, 'support': 1292}}",0.54
5,clf,gboosting,basic,ALL_NO_1_1_1,0_30,included,basic,0.56,{'n_estimators': 100},0.54,0.49,0.38,0.58,0.38,303.00,686.00,303.00,"{'0': {'precision': 0.3798449612403101, 'recall': 0.1617161716171617, 'f1-score': 0.22685185185185183, 'support': 303}, '1': {'precision': 0.5789473684210527, 'recall': 0.8979591836734694, 'f1-score': 0.704, 'support': 686}, '2': {'precision': 0.3838383838383838, 'recall': 0.1254125412541254, 'f1-score': 0.18905472636815918, 'support': 303}, 'micro avg': {'precision': 0.5441176470588235, 'recall': 0.5441176470588235, 'f1-score': 0.5441176470588235, 'support': 1292}, 'macro avg': {'precision': 0.4475435711665822, 'recall': 0.39502929884825216, 'f1-score': 0.3733021927400037, 'support': 1292}, 'weighted avg': {'precision': 0.4864968640059492, 'recall': 0.5441176470588235, 'f1-score': 0.4713341278642905, 'support': 1292}}",1.59
6,clf,ada,basic,ALL_NO_1_1_1,0_30,included,basic,0.56,{'n_estimators': 50},0.55,0.49,0.37,0.59,0.38,303.00,686.00,303.00,"{'0': {'precision': 0.36666666666666664, 'recall': 0.18151815181518152, 'f1-score': 0.24282560706401765, 'support': 303}, '1': {'precision': 0.594088669950739, 'recall': 0.8790087463556852, 'f1-score': 0.7089947089947091, 'support': 686}, '2': {'precision': 0.3779527559055118, 'recall': 0.15841584158415842, 'f1-score': 0.22325581395348837, 'support': 303}, 'micro avg': {'precision': 0.5464396284829721, 'recall': 0.5464396284829721, 'f1-score': 0.5464396284829721, 'support': 1292}, 'macro avg': {'precision': 0.44623603084097246, 'recall': 0.4063142465850083, 'f1-score': 0.391692043337405, 'support': 1292}, 'weighted avg': {'precision': 0.4900654122488986, 'recall': 0.5464396284829721, 'f1-score': 0.485753127661513, 'support': 1292}}",0.47
0,reg,kn,basic,ALL_NO_1_1_1,0_30,included,basic,19.98,{'n_neighbors': 181},,,,,,,,,20.36,1.67
1,reg,svr-rbf,basic,ALL_NO_1_1_1,0_30,included,basic,20.00,"{'C': 1, 'gamma': 1}",,,,,,,,,20.34,4.62
2,reg,dtree,basic,ALL_NO_1_1_1,0_30,included,basic,19.83,"{'max_depth': 4, 'min_samples_leaf': 30}",,,,,,,,,20.79,0.27
3,reg,rforest,basic,ALL_NO_1_1_1,0_30,included,basic,19.81,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 100}",,,,,,,,,20.60,27.64
4,reg,xgb,basic,ALL_NO_1_1_1,0_30,included,basic,19.90,{'n_estimators': 10},,,,,,,,,20.37,0.19
5,reg,gboosting,basic,ALL_NO_1_1_1,0_30,included,basic,19.90,{'n_estimators': 10},,,,,,,,,20.50,0.34
6,reg,ada,basic,ALL_NO_1_1_1,0_30,included,basic,20.31,{'n_estimators': 10},,,,,,,,,20.66,0.38
0,clf,kn,all,ALL_NO_1_1_1,0_30,included,basic,0.55,{'n_neighbors': 51},0.55,0.50,0.41,0.57,0.44,303.00,686.00,303.00,"{'0': {'precision': 0.4112903225806452, 'recall': 0.16831683168316833, 'f1-score': 0.23887587822014053, 'support': 303}, '1': {'precision': 0.5654496883348175, 'recall': 0.9256559766763849, 'f1-score': 0.7020453289110007, 'support': 686}, '2': {'precision': 0.4444444444444444, 'recall': 0.066006600660066, 'f1-score': 0.11494252873563217, 'support': 303}, 'micro avg': {'precision': 0.5464396284829721, 'recall': 0.5464396284829721, 'f1-score': 0.5464396284829721, 'support': 1292}, 'macro avg': {'precision': 0.4737281517866357, 'recall': 0.38665980300653974, 'f1-score': 0.3519545786222578, 'support': 1292}, 'weighted avg': {'precision': 0.500918050004866, 'recall': 0.5464396284829721, 'f1-score': 0.45573535057317766, 'support': 1292}}",1.70
1,clf,svc-rbf,all,ALL_NO_1_1_1,0_30,included,basic,0.55,"{'C': 1, 'gamma': 1}",0.53,0.28,0.00,0.53,0.00,303.00,686.00,303.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 303}, '1': {'precision': 0.5309597523219814, 'recall': 1.0, 'f1-score': 0.6936299292214358, 'support': 686}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 303}, 'micro avg': {'precision': 0.5309597523219814, 'recall': 0.5309597523219814, 'f1-score': 0.5309597523219814, 'support': 1292}, 'macro avg': {'precision': 0.17698658410732715, 'recall': 0.3333333333333333, 'f1-score': 0.23120997640714527, 'support': 1292}, 'weighted avg': {'precision': 0.28191825858581987, 'recall': 0.5309597523219814, 'f1-score': 0.3682895754225271, 'support': 1292}}",6.13
2,clf,dtree,all,ALL_NO_1_1_1,0_30,included,basic,0.55,"{'max_depth': 5, 'min_samples_leaf': 200}",0.53,0.46,0.33,0.58,0.32,303.00,686.00,303.00,"{'0': {'precision': 0.32926829268292684, 'recall': 0.0891089108910891, 'f1-score': 0.14025974025974025, 'support': 303}, '1': {'precision': 0.5772128060263654, 'recall': 0.8935860058309038, 'f1-score': 0.7013729977116704, 'support': 686}, '2': {'precision': 0.32432432432432434, 'recall': 0.15841584158415842, 'f1-score': 0.21286031042128603, 'support': 303}, 'micro avg': {'precision': 0.5325077399380805, 'recall': 0.5325077399380805, 'f1-score': 0.5325077399380805, 'support': 1292}, 'macro avg': {'precision': 0.41026847434453884, 'recall': 0.3803702527687171, 'f1-score': 0.35149768279756555, 'support': 1292}, 'weighted avg': {'precision': 0.4597573900056376, 'recall': 0.5325077399380805, 'f1-score': 0.4552145911660657, 'support': 1292}}",0.29
