,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,precision_above_TH,support_below_TH,support_above_TH,report,elapsed_time
0,clf,kn,max,basic,ALL_NO_1_1_1,30_60,included,basic,0.74,{'n_neighbors': 31},0.73,0.71,0.74,0.64,934.00,358.00,"{'0': {'precision': 0.7375201288244766, 'recall': 0.9807280513918629, 'f1-score': 0.8419117647058822, 'support': 934}, '1': {'precision': 0.64, 'recall': 0.0893854748603352, 'f1-score': 0.1568627450980392, 'support': 358}, 'micro avg': {'precision': 0.7337461300309598, 'recall': 0.7337461300309598, 'f1-score': 0.7337461300309598, 'support': 1292}, 'macro avg': {'precision': 0.6887600644122382, 'recall': 0.5350567631260991, 'f1-score': 0.49938725490196073, 'support': 1292}, 'weighted avg': {'precision': 0.7104982974628956, 'recall': 0.7337461300309598, 'f1-score': 0.6520916803253808, 'support': 1292}}",6.15
1,clf,svc-rbf,max,basic,ALL_NO_1_1_1,30_60,included,basic,0.73,"{'C': 1, 'gamma': 1}",0.72,0.52,0.72,0.00,934.00,358.00,"{'0': {'precision': 0.7229102167182663, 'recall': 1.0, 'f1-score': 0.8391734052111411, 'support': 934}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 358}, 'micro avg': {'precision': 0.7229102167182663, 'recall': 0.7229102167182663, 'f1-score': 0.7229102167182664, 'support': 1292}, 'macro avg': {'precision': 0.36145510835913314, 'recall': 0.5, 'f1-score': 0.41958670260557057, 'support': 1292}, 'weighted avg': {'precision': 0.5225991814356508, 'recall': 0.7229102167182663, 'f1-score': 0.6066470282253915, 'support': 1292}}",8.02
2,clf,dtree,max,basic,ALL_NO_1_1_1,30_60,included,basic,0.75,"{'max_depth': 3, 'min_samples_leaf': 250}",0.75,0.73,0.76,0.64,934.00,358.00,"{'0': {'precision': 0.7576271186440678, 'recall': 0.9571734475374732, 'f1-score': 0.8457899716177862, 'support': 934}, '1': {'precision': 0.6428571428571429, 'recall': 0.2011173184357542, 'f1-score': 0.30638297872340425, 'support': 358}, 'micro avg': {'precision': 0.7476780185758514, 'recall': 0.7476780185758514, 'f1-score': 0.7476780185758514, 'support': 1292}, 'macro avg': {'precision': 0.7002421307506054, 'recall': 0.5791453829866138, 'f1-score': 0.5760864751705952, 'support': 1292}, 'weighted avg': {'precision': 0.725825530926019, 'recall': 0.7476780185758514, 'f1-score': 0.6963258048560302, 'support': 1292}}",0.56
3,clf,rforest,max,basic,ALL_NO_1_1_1,30_60,included,basic,0.76,"{'max_depth': 6, 'min_samples_leaf': 20, 'n_estimators': 50}",0.75,0.73,0.76,0.66,934.00,358.00,"{'0': {'precision': 0.7608510638297873, 'recall': 0.9571734475374732, 'f1-score': 0.8477951635846372, 'support': 934}, '1': {'precision': 0.6581196581196581, 'recall': 0.21508379888268156, 'f1-score': 0.32421052631578945, 'support': 358}, 'micro avg': {'precision': 0.7515479876160991, 'recall': 0.7515479876160991, 'f1-score': 0.7515479876160991, 'support': 1292}, 'macro avg': {'precision': 0.7094853609747227, 'recall': 0.5861286232100774, 'f1-score': 0.5860028449502134, 'support': 1292}, 'weighted avg': {'precision': 0.7323852408853397, 'recall': 0.7515479876160991, 'f1-score': 0.702715209914167, 'support': 1292}}",20.97
4,clf,xgb,max,basic,ALL_NO_1_1_1,30_60,included,basic,0.75,{'n_estimators': 50},0.75,0.73,0.76,0.62,934.00,358.00,"{'0': {'precision': 0.7647569444444444, 'recall': 0.943254817987152, 'f1-score': 0.8446788111217641, 'support': 934}, '1': {'precision': 0.6214285714285714, 'recall': 0.2430167597765363, 'f1-score': 0.3493975903614458, 'support': 358}, 'micro avg': {'precision': 0.7492260061919505, 'recall': 0.7492260061919505, 'f1-score': 0.7492260061919505, 'support': 1292}, 'macro avg': {'precision': 0.6930927579365079, 'recall': 0.5931357888818442, 'f1-score': 0.597038200741605, 'support': 1292}, 'weighted avg': {'precision': 0.7250421166273526, 'recall': 0.7492260061919505, 'f1-score': 0.7074414449977751, 'support': 1292}}",0.33
5,clf,gboosting,max,basic,ALL_NO_1_1_1,30_60,included,basic,0.75,{'n_estimators': 50},0.75,0.73,0.77,0.62,934.00,358.00,"{'0': {'precision': 0.7672790901137357, 'recall': 0.9389721627408993, 'f1-score': 0.8444872412132884, 'support': 934}, '1': {'precision': 0.6174496644295302, 'recall': 0.2569832402234637, 'f1-score': 0.36291913214990135, 'support': 358}, 'micro avg': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 1292}, 'macro avg': {'precision': 0.692364377271633, 'recall': 0.5979777014821815, 'f1-score': 0.603703186681595, 'support': 1292}, 'weighted avg': {'precision': 0.7257628870216726, 'recall': 0.75, 'f1-score': 0.7110496382375202, 'support': 1292}}",0.81
6,clf,ada,max,basic,ALL_NO_1_1_1,30_60,included,basic,0.75,{'n_estimators': 50},0.75,0.73,0.77,0.60,934.00,358.00,"{'0': {'precision': 0.7725245316681534, 'recall': 0.9271948608137045, 'f1-score': 0.8428223844282239, 'support': 934}, '1': {'precision': 0.6023391812865497, 'recall': 0.2877094972067039, 'f1-score': 0.389413988657845, 'support': 358}, 'micro avg': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 1292}, 'macro avg': {'precision': 0.6874318564773516, 'recall': 0.6074521790102042, 'f1-score': 0.6161181865430344, 'support': 1292}, 'weighted avg': {'precision': 0.725367909813189, 'recall': 0.75, 'f1-score': 0.717187550306091, 'support': 1292}}",0.80
0,reg,kn,max,basic,ALL_NO_1_1_1,30_60,included,basic,9.91,{'n_neighbors': 41},,,,,,,10.42,5.96
1,reg,svr-rbf,max,basic,ALL_NO_1_1_1,30_60,included,basic,10.87,"{'C': 5, 'gamma': 1}",,,,,,,11.52,7.71
2,reg,dtree,max,basic,ALL_NO_1_1_1,30_60,included,basic,9.62,"{'max_depth': 4, 'min_samples_leaf': 50}",,,,,,,10.24,0.55
3,reg,rforest,max,basic,ALL_NO_1_1_1,30_60,included,basic,9.42,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 100}",,,,,,,9.88,53.66
4,reg,xgb,max,basic,ALL_NO_1_1_1,30_60,included,basic,9.57,{'n_estimators': 50},,,,,,,9.77,0.34
5,reg,gboosting,max,basic,ALL_NO_1_1_1,30_60,included,basic,9.54,{'n_estimators': 50},,,,,,,9.63,0.72
6,reg,ada,max,basic,ALL_NO_1_1_1,30_60,included,basic,10.32,{'n_estimators': 10},,,,,,,10.99,1.07
0,clf,kn,min,basic,ALL_NO_1_1_1,30_60,included,basic,0.75,{'n_neighbors': 31},0.73,0.72,0.74,0.67,934.00,358.00,"{'0': {'precision': 0.7350359138068635, 'recall': 0.9860813704496788, 'f1-score': 0.842249657064472, 'support': 934}, '1': {'precision': 0.6666666666666666, 'recall': 0.07262569832402235, 'f1-score': 0.13098236775818642, 'support': 358}, 'micro avg': {'precision': 0.7329721362229102, 'recall': 0.7329721362229102, 'f1-score': 0.7329721362229102, 'support': 1292}, 'macro avg': {'precision': 0.7008512902367651, 'recall': 0.5293535343868506, 'f1-score': 0.4866160124113292, 'support': 1292}, 'weighted avg': {'precision': 0.716091493933651, 'recall': 0.7329721362229102, 'f1-score': 0.6451647580152071, 'support': 1292}}",5.26
1,clf,svc-rbf,min,basic,ALL_NO_1_1_1,30_60,included,basic,0.74,"{'C': 1, 'gamma': 1}",0.72,0.52,0.72,0.00,934.00,358.00,"{'0': {'precision': 0.7229102167182663, 'recall': 1.0, 'f1-score': 0.8391734052111411, 'support': 934}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 358}, 'micro avg': {'precision': 0.7229102167182663, 'recall': 0.7229102167182663, 'f1-score': 0.7229102167182664, 'support': 1292}, 'macro avg': {'precision': 0.36145510835913314, 'recall': 0.5, 'f1-score': 0.41958670260557057, 'support': 1292}, 'weighted avg': {'precision': 0.5225991814356508, 'recall': 0.7229102167182663, 'f1-score': 0.6066470282253915, 'support': 1292}}",7.78
