,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
0,clf,kn,max,basic,ALL_NO_1_1_1,0_240,included,basic,0.75,{'n_neighbors': 111},0.73,0.68,0.73,0.99,0.53,0.03,941.00,351.00,"{'0': {'precision': 0.731764705882353, 'recall': 0.9914984059511158, 'f1-score': 0.842057761732852, 'support': 941}, '1': {'precision': 0.5294117647058824, 'recall': 0.02564102564102564, 'f1-score': 0.04891304347826087, 'support': 351}, 'micro avg': {'precision': 0.7291021671826625, 'recall': 0.7291021671826625, 'f1-score': 0.7291021671826625, 'support': 1292}, 'macro avg': {'precision': 0.6305882352941177, 'recall': 0.5085697157960707, 'f1-score': 0.4454854026055564, 'support': 1292}, 'weighted avg': {'precision': 0.6767911127299218, 'recall': 0.7291021671826625, 'f1-score': 0.6265826873463494, 'support': 1292}}",2.97
1,clf,svc-rbf,max,basic,ALL_NO_1_1_1,0_240,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.73,0.53,0.73,1.00,0.00,0.00,941.00,351.00,"{'0': {'precision': 0.728328173374613, 'recall': 1.0, 'f1-score': 0.8428123600537394, 'support': 941}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 351}, 'micro avg': {'precision': 0.728328173374613, 'recall': 0.728328173374613, 'f1-score': 0.728328173374613, 'support': 1292}, 'macro avg': {'precision': 0.3641640866873065, 'recall': 0.5, 'f1-score': 0.4214061800268697, 'support': 1292}, 'weighted avg': {'precision': 0.5304619281312003, 'recall': 0.728328173374613, 'f1-score': 0.6138439866954867, 'support': 1292}}",7.74
2,clf,dtree,max,basic,ALL_NO_1_1_1,0_240,included,basic,0.75,"{'max_depth': 4, 'min_samples_leaf': 150}",0.73,0.68,0.74,0.97,0.51,0.08,941.00,351.00,"{'0': {'precision': 0.7388843977364592, 'recall': 0.971307120085016, 'f1-score': 0.8393021120293849, 'support': 941}, '1': {'precision': 0.509090909090909, 'recall': 0.07977207977207977, 'f1-score': 0.13793103448275862, 'support': 351}, 'micro avg': {'precision': 0.7291021671826625, 'recall': 0.7291021671826625, 'f1-score': 0.7291021671826625, 'support': 1292}, 'macro avg': {'precision': 0.6239876534136841, 'recall': 0.5255395999285478, 'f1-score': 0.4886165732560718, 'support': 1292}, 'weighted avg': {'precision': 0.6764559809295024, 'recall': 0.7291021671826625, 'f1-score': 0.6487593502500769, 'support': 1292}}",0.49
3,clf,rforest,max,basic,ALL_NO_1_1_1,0_240,included,basic,0.75,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 10}",0.73,0.66,0.73,0.99,0.46,0.03,941.00,351.00,"{'0': {'precision': 0.7318611987381703, 'recall': 0.9861849096705633, 'f1-score': 0.8401991851516523, 'support': 941}, '1': {'precision': 0.4583333333333333, 'recall': 0.03133903133903134, 'f1-score': 0.058666666666666666, 'support': 351}, 'micro avg': {'precision': 0.7267801857585139, 'recall': 0.7267801857585139, 'f1-score': 0.7267801857585139, 'support': 1292}, 'macro avg': {'precision': 0.5950972660357519, 'recall': 0.5087619705047973, 'f1-score': 0.44943292590915945, 'support': 1292}, 'weighted avg': {'precision': 0.6575513839106952, 'recall': 0.7267801857585139, 'f1-score': 0.6278788182876971, 'support': 1292}}",24.86
4,clf,xgb,max,basic,ALL_NO_1_1_1,0_240,included,basic,0.75,{'n_estimators': 100},0.73,0.69,0.74,0.98,0.57,0.08,941.00,351.00,"{'0': {'precision': 0.7401448109412712, 'recall': 0.9776833156216791, 'f1-score': 0.8424908424908426, 'support': 941}, '1': {'precision': 0.5714285714285714, 'recall': 0.07977207977207977, 'f1-score': 0.13999999999999999, 'support': 351}, 'micro avg': {'precision': 0.7337461300309598, 'recall': 0.7337461300309598, 'f1-score': 0.7337461300309598, 'support': 1292}, 'macro avg': {'precision': 0.6557866911849213, 'recall': 0.5287276976968794, 'f1-score': 0.4912454212454213, 'support': 1292}, 'weighted avg': {'precision': 0.6943093619714897, 'recall': 0.7337461300309598, 'f1-score': 0.6516438721237483, 'support': 1292}}",0.32
5,clf,gboosting,max,basic,ALL_NO_1_1_1,0_240,included,basic,0.75,{'n_estimators': 50},0.73,0.68,0.74,0.98,0.54,0.06,941.00,351.00,"{'0': {'precision': 0.7370103916866507, 'recall': 0.9798087141339001, 'f1-score': 0.8412408759124088, 'support': 941}, '1': {'precision': 0.5365853658536586, 'recall': 0.06267806267806268, 'f1-score': 0.11224489795918367, 'support': 351}, 'micro avg': {'precision': 0.7306501547987616, 'recall': 0.7306501547987616, 'f1-score': 0.7306501547987616, 'support': 1292}, 'macro avg': {'precision': 0.6367978787701547, 'recall': 0.5212433884059814, 'f1-score': 0.47674288693579625, 'support': 1292}, 'weighted avg': {'precision': 0.6825605588171614, 'recall': 0.7306501547987616, 'f1-score': 0.6431932069792958, 'support': 1292}}",0.72
6,clf,ada,max,basic,ALL_NO_1_1_1,0_240,included,basic,0.75,{'n_estimators': 10},0.73,0.67,0.74,0.98,0.50,0.06,941.00,351.00,"{'0': {'precision': 0.736, 'recall': 0.9776833156216791, 'f1-score': 0.8397991784573254, 'support': 941}, '1': {'precision': 0.5, 'recall': 0.05982905982905983, 'f1-score': 0.10687022900763359, 'support': 351}, 'micro avg': {'precision': 0.728328173374613, 'recall': 0.728328173374613, 'f1-score': 0.728328173374613, 'support': 1292}, 'macro avg': {'precision': 0.618, 'recall': 0.5187561877253695, 'f1-score': 0.4733347037324795, 'support': 1292}, 'weighted avg': {'precision': 0.6718854489164087, 'recall': 0.728328173374613, 'f1-score': 0.6406830319737017, 'support': 1292}}",0.76
0,reg,kn,max,basic,ALL_NO_1_1_1,0_240,included,basic,29.67,{'n_neighbors': 81},,,,,,,,,29.84,2.72
1,reg,svr-rbf,max,basic,ALL_NO_1_1_1,0_240,included,basic,31.83,"{'C': 1, 'gamma': 4}",,,,,,,,,32.22,7.48
2,reg,dtree,max,basic,ALL_NO_1_1_1,0_240,included,basic,29.09,"{'max_depth': 4, 'min_samples_leaf': 50}",,,,,,,,,29.68,0.64
3,reg,rforest,max,basic,ALL_NO_1_1_1,0_240,included,basic,28.69,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 100}",,,,,,,,,28.92,45.30
4,reg,xgb,max,basic,ALL_NO_1_1_1,0_240,included,basic,28.75,{'n_estimators': 50},,,,,,,,,29.01,0.29
5,reg,gboosting,max,basic,ALL_NO_1_1_1,0_240,included,basic,28.84,{'n_estimators': 50},,,,,,,,,28.96,0.56
6,reg,ada,max,basic,ALL_NO_1_1_1,0_240,included,basic,31.42,{'n_estimators': 10},,,,,,,,,31.87,0.41
0,clf,kn,min,basic,ALL_NO_1_1_1,0_240,included,basic,0.75,{'n_neighbors': 121},0.77,0.82,0.77,1.00,1.00,0.00,988.00,304.00,"{'0': {'precision': 0.7652982184353214, 'recall': 1.0, 'f1-score': 0.8670469504168494, 'support': 988}, '1': {'precision': 1.0, 'recall': 0.003289473684210526, 'f1-score': 0.006557377049180327, 'support': 304}, 'micro avg': {'precision': 0.7654798761609907, 'recall': 0.7654798761609907, 'f1-score': 0.7654798761609908, 'support': 1292}, 'macro avg': {'precision': 0.8826491092176607, 'recall': 0.5016447368421053, 'f1-score': 0.4368021637330149, 'support': 1292}, 'weighted avg': {'precision': 0.8205221670387753, 'recall': 0.7654798761609907, 'f1-score': 0.6645788155068096, 'support': 1292}}",2.60
1,clf,svc-rbf,min,basic,ALL_NO_1_1_1,0_240,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.76,0.58,0.76,1.00,0.00,0.00,988.00,304.00,"{'0': {'precision': 0.7647058823529411, 'recall': 1.0, 'f1-score': 0.8666666666666666, 'support': 988}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 304}, 'micro avg': {'precision': 0.7647058823529411, 'recall': 0.7647058823529411, 'f1-score': 0.7647058823529412, 'support': 1292}, 'macro avg': {'precision': 0.38235294117647056, 'recall': 0.5, 'f1-score': 0.4333333333333333, 'support': 1292}, 'weighted avg': {'precision': 0.5847750865051903, 'recall': 0.7647058823529411, 'f1-score': 0.6627450980392156, 'support': 1292}}",7.15
2,clf,dtree,min,basic,ALL_NO_1_1_1,0_240,included,basic,0.75,"{'max_depth': 4, 'min_samples_leaf': 250}",0.76,0.71,0.78,0.96,0.49,0.13,988.00,304.00,"{'0': {'precision': 0.7822847682119205, 'recall': 0.9564777327935222, 'f1-score': 0.8606557377049179, 'support': 988}, '1': {'precision': 0.4880952380952381, 'recall': 0.13486842105263158, 'f1-score': 0.211340206185567, 'support': 304}, 'micro avg': {'precision': 0.7631578947368421, 'recall': 0.7631578947368421, 'f1-score': 0.7631578947368421, 'support': 1292}, 'macro avg': {'precision': 0.6351900031535793, 'recall': 0.5456730769230769, 'f1-score': 0.5359979719452425, 'support': 1292}, 'weighted avg': {'precision': 0.7130637023021129, 'recall': 0.7631578947368421, 'f1-score': 0.7078756126415412, 'support': 1292}}",0.45
3,clf,rforest,min,basic,ALL_NO_1_1_1,0_240,included,basic,0.75,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 10}",0.76,0.70,0.77,0.98,0.47,0.05,988.00,304.00,"{'0': {'precision': 0.7702060221870047, 'recall': 0.9838056680161943, 'f1-score': 0.8639999999999999, 'support': 988}, '1': {'precision': 0.4666666666666667, 'recall': 0.046052631578947366, 'f1-score': 0.08383233532934131, 'support': 304}, 'micro avg': {'precision': 0.7631578947368421, 'recall': 0.7631578947368421, 'f1-score': 0.7631578947368421, 'support': 1292}, 'macro avg': {'precision': 0.6184363444268357, 'recall': 0.5149291497975709, 'f1-score': 0.4739161676646706, 'support': 1292}, 'weighted avg': {'precision': 0.6987849973586899, 'recall': 0.7631578947368421, 'f1-score': 0.6804311377245508, 'support': 1292}}",22.79
4,clf,xgb,min,basic,ALL_NO_1_1_1,0_240,included,basic,0.76,{'n_estimators': 100},0.76,0.71,0.78,0.96,0.49,0.13,988.00,304.00,"{'0': {'precision': 0.7818181818181819, 'recall': 0.9574898785425101, 'f1-score': 0.8607825295723386, 'support': 988}, '1': {'precision': 0.4878048780487805, 'recall': 0.13157894736842105, 'f1-score': 0.2072538860103627, 'support': 304}, 'micro avg': {'precision': 0.7631578947368421, 'recall': 0.7631578947368421, 'f1-score': 0.7631578947368421, 'support': 1292}, 'macro avg': {'precision': 0.6348115299334811, 'recall': 0.5445344129554656, 'f1-score': 0.5340182077913507, 'support': 1292}, 'weighted avg': {'precision': 0.7126385809312639, 'recall': 0.7631578947368421, 'f1-score': 0.7070110840283442, 'support': 1292}}",0.31
5,clf,gboosting,min,basic,ALL_NO_1_1_1,0_240,included,basic,0.76,{'n_estimators': 100},0.76,0.71,0.78,0.96,0.46,0.12,988.00,304.00,"{'0': {'precision': 0.7801652892561983, 'recall': 0.9554655870445344, 'f1-score': 0.8589626933575978, 'support': 988}, '1': {'precision': 0.4634146341463415, 'recall': 0.125, 'f1-score': 0.1968911917098446, 'support': 304}, 'micro avg': {'precision': 0.760061919504644, 'recall': 0.760061919504644, 'f1-score': 0.760061919504644, 'support': 1292}, 'macro avg': {'precision': 0.6217899617012699, 'recall': 0.5402327935222673, 'f1-score': 0.5279269425337212, 'support': 1292}, 'weighted avg': {'precision': 0.7056357233479967, 'recall': 0.760061919504644, 'f1-score': 0.7031811635581264, 'support': 1292}}",0.71
6,clf,ada,min,basic,ALL_NO_1_1_1,0_240,included,basic,0.76,{'n_estimators': 50},0.76,0.71,0.78,0.95,0.48,0.15,988.00,304.00,"{'0': {'precision': 0.7842809364548495, 'recall': 0.9493927125506073, 'f1-score': 0.8589743589743589, 'support': 988}, '1': {'precision': 0.4791666666666667, 'recall': 0.1513157894736842, 'f1-score': 0.23, 'support': 304}, 'micro avg': {'precision': 0.7616099071207431, 'recall': 0.7616099071207431, 'f1-score': 0.7616099071207431, 'support': 1292}, 'macro avg': {'precision': 0.6317238015607581, 'recall': 0.5503542510121457, 'f1-score': 0.5444871794871795, 'support': 1292}, 'weighted avg': {'precision': 0.7124893435635123, 'recall': 0.7616099071207431, 'f1-score': 0.7109803921568627, 'support': 1292}}",0.77
0,reg,kn,min,basic,ALL_NO_1_1_1,0_240,included,basic,28.64,{'n_neighbors': 41},,,,,,,,,27.28,2.54
1,reg,svr-rbf,min,basic,ALL_NO_1_1_1,0_240,included,basic,31.03,"{'C': 5, 'gamma': 4}",,,,,,,,,29.25,6.78
2,reg,dtree,min,basic,ALL_NO_1_1_1,0_240,included,basic,27.86,"{'max_depth': 5, 'min_samples_leaf': 50}",,,,,,,,,26.92,0.45
3,reg,rforest,min,basic,ALL_NO_1_1_1,0_240,included,basic,27.41,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,,,26.64,42.07
4,reg,xgb,min,basic,ALL_NO_1_1_1,0_240,included,basic,27.35,{'n_estimators': 100},,,,,,,,,26.37,0.31
5,reg,gboosting,min,basic,ALL_NO_1_1_1,0_240,included,basic,27.37,{'n_estimators': 100},,,,,,,,,26.28,0.58
6,reg,ada,min,basic,ALL_NO_1_1_1,0_240,included,basic,29.60,{'n_estimators': 10},,,,,,,,,29.66,0.36
0,clf,kn,max,basic,ALL_NO_3_2_1,0_240,included,basic,0.75,{'n_neighbors': 111},0.73,0.68,0.73,0.99,0.53,0.03,941.00,351.00,"{'0': {'precision': 0.731764705882353, 'recall': 0.9914984059511158, 'f1-score': 0.842057761732852, 'support': 941}, '1': {'precision': 0.5294117647058824, 'recall': 0.02564102564102564, 'f1-score': 0.04891304347826087, 'support': 351}, 'micro avg': {'precision': 0.7291021671826625, 'recall': 0.7291021671826625, 'f1-score': 0.7291021671826625, 'support': 1292}, 'macro avg': {'precision': 0.6305882352941177, 'recall': 0.5085697157960707, 'f1-score': 0.4454854026055564, 'support': 1292}, 'weighted avg': {'precision': 0.6767911127299218, 'recall': 0.7291021671826625, 'f1-score': 0.6265826873463494, 'support': 1292}}",3.11
