,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_30_60_after,pips_candle_30_60_after,pips_candle_max_30_60_after,pips_candle_min_30_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_60_240_after,reaction_max_60_240_after
107,2007-10-02 10:00:00,24,-0.79,0,4.95,3,0,0,1,0,1,0,1,2007,40,1,1,18,-8,12,-7,13,-3,7,-2,8,1,9,-1,27,-7,4,-23,29,22,14,0
108,2007-10-03 08:15:00,0,-0.12,0,-0.65,0,1,0,0,0,0,1,1,2007,40,2,1,11,-7,10,4,9,0,6,-1,10,-2,8,-5,13,2,10,-3,29,15,3,0
109,2007-10-03 10:00:00,18,-0.06,0,0.0,0,1,0,0,1,0,0,1,2007,40,2,1,13,-11,13,-7,11,5,16,-9,9,1,10,-2,26,-11,9,-17,18,-4,5,0
110,2007-10-11 08:30:00,31,0.35,0,0.0,0,0,1,0,1,0,0,1,2007,41,3,1,20,-18,15,10,26,-16,10,-2,11,-4,14,7,25,-13,4,-21,30,11,76,1
111,2007-10-12 10:00:00,28,-0.41,0,-0.26,0,0,0,1,1,0,0,1,2007,41,4,1,14,3,22,-12,13,7,14,3,12,-1,8,0,22,-3,5,-17,48,-21,9,0
112,2007-10-16 09:00:00,30,-2.31,1,-0.03,0,0,0,1,1,0,0,1,2007,42,1,1,33,23,13,2,16,-9,13,2,11,-4,19,-6,17,5,11,-6,55,14,9,0
113,2007-10-17 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,42,2,1,20,-2,17,-3,19,10,12,1,11,3,11,4,14,6,10,-4,32,9,5,0
114,2007-10-24 10:00:00,14,-2.59,1,-1.04,1,0,0,1,1,0,0,1,2007,43,2,1,20,-7,14,-4,13,-5,10,4,10,6,10,-3,26,-19,2,-24,27,3,9,0
115,2007-10-25 08:30:00,8,-0.22,0,2.0,2,0,0,1,0,1,0,1,2007,43,3,1,13,2,24,19,24,4,12,-2,10,1,10,2,18,-6,3,-15,22,-5,11,0
116,2007-10-25 10:00:00,21,0.0,0,-2.55,2,1,0,0,0,0,1,1,2007,43,3,1,13,-6,12,5,17,9,13,-7,14,2,11,-6,17,-5,4,-13,27,-17,23,0
117,2007-10-30 10:00:00,4,-0.71,1,-0.27,1,0,0,1,1,0,0,1,2007,44,1,1,21,17,8,0,11,-6,7,0,10,3,11,5,21,-1,15,-6,30,7,13,0
118,2007-10-31 08:30:00,1,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,44,2,1,14,-6,24,-12,12,-3,15,3,15,8,13,-2,26,9,20,-6,27,-4,27,0
119,2007-10-31 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,44,2,1,25,3,19,-4,9,0,12,7,21,8,27,25,33,-4,20,-13,41,-4,18,0
120,2007-11-01 08:30:00,9,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,44,3,1,16,-6,10,4,13,5,12,-3,20,-13,16,7,14,7,9,-5,22,13,45,1
121,2007-11-01 10:00:00,17,-0.65,0,0.0,0,0,0,1,1,0,0,1,2007,44,3,1,20,-13,11,0,12,3,13,-7,14,4,16,6,17,-1,5,-12,28,-4,62,1
122,2007-11-05 10:00:00,18,0.59,0,0.0,0,0,1,0,1,0,0,1,2007,45,0,1,10,3,10,-3,8,5,13,-4,10,-3,9,-1,13,-4,7,-6,18,4,12,0
123,2007-11-09 08:30:00,31,1.15,1,0.75,3,0,1,0,0,1,0,1,2007,45,4,1,14,-3,18,-9,11,3,9,3,6,-2,10,2,30,12,18,-12,23,8,4,0
124,2007-11-09 10:00:00,28,-1.06,1,-0.86,1,0,0,1,0,0,1,1,2007,45,4,1,15,8,18,-12,11,5,15,4,11,-1,11,2,22,1,14,-8,31,-4,12,0
125,2007-11-13 15:00:00,24,0.5,1,0.0,0,0,1,0,1,0,0,1,2007,46,1,1,20,11,10,-4,9,-4,6,1,10,-5,7,-1,20,8,15,-5,27,-3,26,0
