,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_30_120_after,reaction_max_30_120_after
41,2007-02-15 12:00:00,53,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,7,3,1,10,8,8,-1,10,-8,5,2,9,4,7,-3,13,-2,3,0
42,2007-02-15 13:00:00,44,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,7,3,1,8,-6,7,-2,4,3,4,0,6,0,6,3,21,-4,12,0
43,2007-02-16 10:00:00,58,3.0,0,3.0,0,0,0,3,0,0,3,1,0,0,2007,7,4,1,15,-8,7,4,4,1,4,-2,3,0,4,0,26,14,25,0
44,2007-02-21 10:00:00,7,1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,8,2,1,5,2,8,4,10,-3,5,-2,4,-1,5,3,15,7,12,0
45,2007-02-22 08:30:00,69,-0.47,1,-3.65,1,0,0,1,1,0,0,0,1,0,2007,8,3,1,7,-5,6,3,4,-1,7,-7,6,-3,4,2,18,14,14,0
46,2007-02-27 09:00:00,65,1.0,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,9,1,1,4,-2,4,-1,4,-3,6,0,7,3,5,-4,24,17,12,0
47,2007-02-28 09:45:00,10,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,9,2,1,7,-4,5,2,5,2,6,0,6,0,3,0,28,-7,16,0
48,2007-02-28 10:00:00,47,3.0,0,3.0,0,0,0,3,0,3,0,1,0,0,2007,9,2,1,6,0,6,0,3,0,6,2,5,1,14,-10,21,0,43,1
49,2007-02-28 10:30:00,18,-0.83,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,9,2,1,14,-10,9,6,5,-2,10,1,8,5,13,9,20,-7,27,1
50,2007-03-01 00:00:00,67,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,9,3,1,6,2,5,-2,9,3,5,0,5,-1,3,-1,10,-2,1,0
51,2007-03-01 09:30:00,46,-2.01,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,9,3,1,11,4,6,-5,7,-3,4,2,7,1,13,-10,16,2,6,0
52,2007-03-02 10:00:00,63,2.0,0,2.0,0,0,0,2,2,0,0,0,0,1,2007,9,4,1,8,4,12,-5,8,-2,15,-3,5,-2,5,0,21,-8,18,0
53,2007-03-05 10:00:00,40,3.0,0,0.0,0,0,0,3,3,0,0,1,0,0,2007,10,0,1,14,11,11,-5,7,2,7,-2,2,2,7,0,28,17,0,0
54,2007-03-07 08:15:00,0,2.0,0,2.0,0,0,0,2,0,0,2,0,0,1,2007,10,2,1,12,3,9,-6,6,3,3,0,4,2,5,1,17,9,13,0
55,2007-03-07 10:30:00,18,-8.11,2,0.0,0,1,0,0,1,0,0,0,1,0,2007,10,2,1,7,5,4,-1,5,-3,5,1,7,-3,5,0,20,9,9,0
56,2007-03-07 15:00:00,12,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,10,2,1,7,-2,6,3,4,-1,4,0,6,-2,4,-2,31,26,6,0
57,2007-03-08 08:30:00,69,-0.1,0,0.0,1,1,0,0,1,0,0,0,1,0,2007,10,3,1,8,-6,5,1,17,-2,10,-1,8,5,20,-12,19,1,0,0
58,2007-03-08 09:30:00,46,-0.39,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,10,3,1,5,-2,9,5,9,-7,5,-2,5,3,5,-2,54,-35,13,0
59,2007-03-09 10:00:00,31,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,10,4,1,11,10,8,-5,5,2,8,4,3,0,6,-3,21,-1,16,0
60,2007-03-12 15:00:00,25,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,11,0,1,5,1,5,2,5,-2,5,1,4,2,3,0,27,4,4,0
61,2007-03-13 10:00:00,5,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,11,1,1,4,-1,4,0,6,-4,5,-1,9,-5,6,-3,16,3,2,0
62,2007-03-13 11:00:00,37,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,1,1,3,1,3,0,4,1,3,0,4,-3,6,0,19,-13,24,0
63,2007-03-14 10:30:00,18,-0.4,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,2,1,5,-1,14,10,11,-9,5,2,8,-6,5,2,36,29,25,0
64,2007-03-15 09:00:00,66,3.0,0,3.0,0,0,3,0,3,0,0,1,0,0,2007,11,3,1,14,8,13,11,8,-6,5,0,15,7,7,-3,30,-3,18,0
65,2007-03-15 10:30:00,46,-0.92,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,3,1,5,-2,4,2,6,3,5,-2,15,9,6,1,13,-1,16,0
