,datetime,new_id,forecast_error_ratio,forecast_error_ratio_zscore,previous_error_ratio,total_error_ratio,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,num_news
0,2007-01-08 15:00:00,12,127.78,0.0,0.0,127.78,0.0,0,1,0,1,0,0,0,1,0,1
1,2007-01-09 10:00:00,37,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0,1
2,2007-01-10 08:30:00,68,9.0,0.0,0.0,9.0,0.0,0,3,0,3,0,0,1,0,0,1
3,2007-01-10 10:00:00,31,-225.0,0.0,0.0,-225.0,0.0,0,0,1,0,1,0,0,1,0,1
4,2007-01-10 10:30:00,18,233.33,0.0,0.0,233.33,0.0,1,0,0,1,0,0,0,1,0,1
5,2007-01-11 08:30:00,69,6.56,0.0,0.0,6.56,0.0,0,1,0,1,0,0,0,1,0,1
6,2007-01-11 10:30:00,46,8.89,0.0,0.0,8.89,0.0,1,0,0,1,0,0,0,1,0,1
8,2007-01-12 10:00:00,5,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1,1
9,2007-01-12 14:00:00,25,147.66,0.0,0.0,147.66,0.0,0,2,0,2,0,0,0,0,1,1
10,2007-01-16 08:30:00,21,-98.88,0.0,0.0,-98.88,0.0,0,0,2,2,0,0,0,0,1,1
12,2007-01-17 09:00:00,66,-51.269999999999996,0.0,0.0,-51.269999999999996,0.0,0,0,3,0,3,0,1,0,0,1
14,2007-01-17 13:00:00,44,6.06,0.0,0.0,6.06,0.0,0,1,0,0,1,0,0,1,0,1
17,2007-01-18 12:00:00,53,353.34,0.0,0.0,353.34,0.0,0,2,0,2,0,0,0,0,1,1
18,2007-01-19 10:00:00,58,17.85,0.0,0.0,17.85,0.0,0,3,0,0,3,0,1,0,0,1
20,2007-01-24 10:30:00,18,46.15,0.55349472672019,0.0,46.15,0.55349472672019,1,0,0,1,0,0,0,1,0,1
21,2007-01-25 08:30:00,69,-4.84,-1.1490998997509454,0.34,-4.5,-1.1458837912294852,0,0,1,1,0,0,0,1,0,1
22,2007-01-25 10:00:00,23,-1.44,0.0,0.0,-1.44,0.0,0,0,3,3,0,0,1,0,0,1
23,2007-01-25 10:30:00,46,2.87,-1.0672543569804704,0.0,2.87,-1.0672543569804704,1,0,0,1,0,0,0,1,0,1
25,2007-01-26 10:00:00,47,20.009999999999998,0.0,0.0,20.009999999999998,0.0,0,3,0,0,3,0,1,0,0,1
26,2007-01-30 09:00:00,65,-6.25,0.0,0.0,-6.25,0.0,1,0,0,1,0,0,0,1,0,1
27,2007-01-30 10:00:00,6,0.54,0.0,0.0,0.54,0.0,3,0,0,0,3,0,1,0,0,1
28,2007-01-31 08:15:00,0,25.18,0.0,0.0,25.18,0.0,0,2,0,0,2,0,0,0,1,1
30,2007-01-31 09:45:00,10,-12.3,0.0,0.0,-12.3,0.0,0,0,2,2,0,0,0,0,1,1
31,2007-01-31 10:00:00,11,-300.0,0.0,0.0,-300.0,0.0,0,0,1,0,1,0,0,1,0,1
32,2007-01-31 10:30:00,18,-92.86,0.4537828804979818,0.0,-92.86,0.4537828804979818,1,0,0,1,0,0,0,1,0,1
33,2007-01-31 14:15:00,26,0.0,0.0,0.0,0.0,0.0,3,0,0,3,0,0,1,0,0,1
34,2007-02-01 00:00:00,67,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,1,0,1
37,2007-02-01 10:30:00,46,-7.46,-1.3325146861886517,0.0,-7.46,-1.3325146861886517,1,0,0,1,0,0,0,1,0,1
40,2007-02-05 10:00:00,40,11.61,0.0,0.0,11.61,0.0,0,3,0,3,0,0,1,0,0,1
42,2007-02-07 10:30:00,18,120.0,0.4611640709364719,0.0,120.0,0.4611640709364719,1,0,0,1,0,0,0,1,0,1
43,2007-02-07 15:00:00,12,-14.29,-0.7071067811865476,11.38,-2.9099999999999984,-0.7071067811865475,0,0,1,0,1,0,0,1,0,1
44,2007-02-08 08:30:00,69,-0.32,-0.5192544678245048,-0.33,-0.65,-0.5692795094077342,1,0,0,1,0,0,0,1,0,1
45,2007-02-08 10:00:00,31,183.33,0.7071067811865476,15.38,198.71,0.7071067811865476,0,1,0,0,1,0,0,1,0,1
46,2007-02-08 10:30:00,46,2.28,-0.20484961958064174,0.0,2.28,-0.20484961958064174,1,0,0,1,0,0,0,1,0,1
47,2007-02-12 14:00:00,25,9.0,-1.414213562373095,0.0,9.0,-1.414213562373095,2,0,0,2,0,0,0,0,1,1
48,2007-02-13 08:30:00,68,-8.58,-2.1213203435596424,-0.51,-9.09,-2.1213203435596424,0,0,3,3,0,0,1,0,0,1
49,2007-02-13 10:00:00,37,-2.41,-0.7071067811865476,0.0,-2.41,-0.7071067811865476,0,0,1,1,0,0,0,1,0,1
51,2007-02-14 10:00:00,5,200.0,1.414213562373095,100.0,300.0,1.414213562373095,0,2,0,0,2,0,0,0,1,1
52,2007-02-14 10:30:00,18,160.0,0.4806105206178248,0.0,160.0,0.4806105206178248,1,0,0,1,0,0,0,1,0,1
54,2007-02-15 09:00:00,66,-222.0,-2.1213203435596424,72.36,-149.64000000000001,-2.121320343559643,0,0,3,0,3,0,1,0,0,1
56,2007-02-15 10:30:00,46,1.97,-0.0693633276622777,0.0,1.97,-0.0693633276622777,1,0,0,1,0,0,0,1,0,1
57,2007-02-15 12:00:00,53,-165.72,-1.414213562373095,0.0,-165.72,-1.414213562373095,0,0,2,2,0,0,0,0,1,1
58,2007-02-15 13:00:00,44,14.29,0.7071067811865475,0.0,14.29,0.7071067811865475,0,1,0,1,0,0,0,1,0,1
60,2007-02-16 10:00:00,58,-9.959999999999999,-2.1213203435596424,-3.3600000000000003,-13.32,-2.1213203435596424,0,0,3,0,0,3,1,0,0,1
62,2007-02-21 10:00:00,7,-50.0,-0.7071067811865475,100.0,50.0,0.0,0,0,1,0,1,0,0,1,0,1
63,2007-02-22 08:30:00,69,-3.75,0.04264569542792437,-0.56,-4.3100000000000005,0.010360907921358915,0,0,1,1,0,0,0,1,0,1
66,2007-02-27 09:00:00,65,-44.44,-0.7071067811865476,-5.88,-50.32,-0.7071067811865476,0,0,1,1,0,0,0,1,0,1
69,2007-02-28 09:45:00,10,-8.4,1.4142135623730956,0.0,-8.4,1.4142135623730956,0,0,2,2,0,0,0,0,1,1
70,2007-02-28 10:00:00,47,-39.72,-2.121320343559643,0.81,-38.910000000000004,-2.121320343559643,0,0,3,0,3,0,1,0,0,1
71,2007-02-28 10:30:00,18,33.33,0.2474234246053661,0.0,33.33,0.2474234246053661,1,0,0,1,0,0,0,1,0,1
72,2007-03-01 00:00:00,67,2.47,0.7071067811865475,0.0,2.47,0.7071067811865475,0,1,0,1,0,0,0,1,0,1
74,2007-03-01 09:30:00,46,-7.04,-1.0129702504231404,0.0,-7.04,-1.0129702504231404,1,0,0,1,0,0,0,1,0,1
76,2007-03-02 10:00:00,63,-5.74,-1.4142135623730951,7.44,1.7000000000000002,1.414213562373095,0,0,2,2,0,0,0,0,1,1
77,2007-03-05 10:00:00,40,-15.21,-2.1213203435596424,0.0,-15.21,-2.1213203435596424,0,0,3,3,0,0,1,0,0,1
80,2007-03-07 08:15:00,0,-86.0,-1.4142135623730951,-40.78,-126.78,-1.4142135623730951,0,0,2,0,0,2,0,0,1,1
81,2007-03-07 10:30:00,18,366.67,1.2283337116764168,0.0,366.67,1.2283337116764168,1,0,0,1,0,0,0,1,0,1
82,2007-03-07 15:00:00,12,-8.57,-0.5414234746780012,-16.67,-25.24,-0.7071344190215236,0,0,1,0,0,1,0,1,0,1
83,2007-03-08 08:30:00,69,0.61,0.7898869772096091,0.0,0.61,0.7986522013466074,1,0,0,1,0,0,0,1,0,1
84,2007-03-08 09:30:00,46,2.0,0.5892318525300168,0.0,2.0,0.5892318525300168,1,0,0,1,0,0,0,1,0,1
