,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,precision_above_TH,support_below_TH,support_above_TH,report,elapsed_time
0,clf,kn,max,basic,ALL_NO_1_1_1,60_120,included,basic,0.74,{'n_neighbors': 61},0.73,0.70,0.73,0.59,944.00,348.00,"{'0': {'precision': 0.7349019607843137, 'recall': 0.9925847457627118, 'f1-score': 0.8445245606128886, 'support': 944}, '1': {'precision': 0.5882352941176471, 'recall': 0.028735632183908046, 'f1-score': 0.0547945205479452, 'support': 348}, 'micro avg': {'precision': 0.7329721362229102, 'recall': 0.7329721362229102, 'f1-score': 0.7329721362229102, 'support': 1292}, 'macro avg': {'precision': 0.6615686274509804, 'recall': 0.5106601889733099, 'f1-score': 0.4496595405804169, 'support': 1292}, 'weighted avg': {'precision': 0.6953973168214654, 'recall': 0.7329721362229102, 'f1-score': 0.6318108965706283, 'support': 1292}}",7.42
1,clf,svc-rbf,max,basic,ALL_NO_1_1_1,60_120,included,basic,0.74,"{'C': 1, 'gamma': 1}",0.73,0.53,0.73,0.00,944.00,348.00,"{'0': {'precision': 0.7306501547987616, 'recall': 1.0, 'f1-score': 0.8443649373881932, 'support': 944}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 348}, 'micro avg': {'precision': 0.7306501547987616, 'recall': 0.7306501547987616, 'f1-score': 0.7306501547987616, 'support': 1292}, 'macro avg': {'precision': 0.3653250773993808, 'recall': 0.5, 'f1-score': 0.4221824686940966, 'support': 1292}, 'weighted avg': {'precision': 0.5338496487074542, 'recall': 0.7306501547987616, 'f1-score': 0.61693537220933, 'support': 1292}}",8.24
2,clf,dtree,max,basic,ALL_NO_1_1_1,60_120,included,basic,0.76,"{'max_depth': 4, 'min_samples_leaf': 200}",0.75,0.72,0.76,0.59,944.00,348.00,"{'0': {'precision': 0.7632027257240205, 'recall': 0.9491525423728814, 'f1-score': 0.8460812086874411, 'support': 944}, '1': {'precision': 0.5932203389830508, 'recall': 0.20114942528735633, 'f1-score': 0.30042918454935624, 'support': 348}, 'micro avg': {'precision': 0.7476780185758514, 'recall': 0.7476780185758514, 'f1-score': 0.7476780185758514, 'support': 1292}, 'macro avg': {'precision': 0.6782115323535356, 'recall': 0.5751509838301189, 'f1-score': 0.5732551966183986, 'support': 1292}, 'weighted avg': {'precision': 0.7174179961684033, 'recall': 0.7476780185758514, 'f1-score': 0.6991099204521055, 'support': 1292}}",0.61
3,clf,rforest,max,basic,ALL_NO_1_1_1,60_120,included,basic,0.76,"{'max_depth': 7, 'min_samples_leaf': 30, 'n_estimators': 100}",0.75,0.73,0.76,0.66,944.00,348.00,"{'0': {'precision': 0.7601998334721066, 'recall': 0.9671610169491526, 'f1-score': 0.8512820512820513, 'support': 944}, '1': {'precision': 0.6593406593406593, 'recall': 0.1724137931034483, 'f1-score': 0.2733485193621868, 'support': 348}, 'micro avg': {'precision': 0.7530959752321982, 'recall': 0.7530959752321982, 'f1-score': 0.7530959752321982, 'support': 1292}, 'macro avg': {'precision': 0.709770246406383, 'recall': 0.5697874050263004, 'f1-score': 0.562315285322119, 'support': 1292}, 'weighted avg': {'precision': 0.7330334305326767, 'recall': 0.7530959752321982, 'f1-score': 0.6956157439228309, 'support': 1292}}",21.30
4,clf,xgb,max,basic,ALL_NO_1_1_1,60_120,included,basic,0.75,{'n_estimators': 50},0.75,0.73,0.77,0.61,944.00,348.00,"{'0': {'precision': 0.7666666666666667, 'recall': 0.9502118644067796, 'f1-score': 0.8486281929990539, 'support': 944}, '1': {'precision': 0.6147540983606558, 'recall': 0.21551724137931033, 'f1-score': 0.3191489361702127, 'support': 348}, 'micro avg': {'precision': 0.7523219814241486, 'recall': 0.7523219814241486, 'f1-score': 0.7523219814241486, 'support': 1292}, 'macro avg': {'precision': 0.6907103825136612, 'recall': 0.582864552893045, 'f1-score': 0.5838885645846333, 'support': 1292}, 'weighted avg': {'precision': 0.72574903990932, 'recall': 0.7523219814241486, 'f1-score': 0.7060130371349388, 'support': 1292}}",0.37
5,clf,gboosting,max,basic,ALL_NO_1_1_1,60_120,included,basic,0.75,{'n_estimators': 100},0.75,0.71,0.77,0.57,944.00,348.00,"{'0': {'precision': 0.766897746967071, 'recall': 0.9375, 'f1-score': 0.8436606291706387, 'support': 944}, '1': {'precision': 0.572463768115942, 'recall': 0.22701149425287356, 'f1-score': 0.3251028806584362, 'support': 348}, 'micro avg': {'precision': 0.7461300309597523, 'recall': 0.7461300309597523, 'f1-score': 0.7461300309597522, 'support': 1292}, 'macro avg': {'precision': 0.6696807575415065, 'recall': 0.5822557471264368, 'f1-score': 0.5843817549145374, 'support': 1292}, 'weighted avg': {'precision': 0.7145269848616587, 'recall': 0.7461300309597523, 'f1-score': 0.7039871798809743, 'support': 1292}}",1.06
6,clf,ada,max,basic,ALL_NO_1_1_1,60_120,included,basic,0.75,{'n_estimators': 10},0.76,0.74,0.76,0.66,944.00,348.00,"{'0': {'precision': 0.7645079899074853, 'recall': 0.9629237288135594, 'f1-score': 0.8523206751054853, 'support': 944}, '1': {'precision': 0.6601941747572816, 'recall': 0.19540229885057472, 'f1-score': 0.30155210643015523, 'support': 348}, 'micro avg': {'precision': 0.7561919504643962, 'recall': 0.7561919504643962, 'f1-score': 0.7561919504643962, 'support': 1292}, 'macro avg': {'precision': 0.7123510823323834, 'recall': 0.579163013832067, 'f1-score': 0.5769363907678202, 'support': 1292}, 'weighted avg': {'precision': 0.7364110799444272, 'recall': 0.7561919504643962, 'f1-score': 0.7039712463910774, 'support': 1292}}",0.87
0,reg,kn,max,basic,ALL_NO_1_1_1,60_120,included,basic,14.16,{'n_neighbors': 41},,,,,,,13.98,7.34
1,reg,svr-rbf,max,basic,ALL_NO_1_1_1,60_120,included,basic,15.44,"{'C': 5, 'gamma': 1}",,,,,,,15.40,7.49
2,reg,dtree,max,basic,ALL_NO_1_1_1,60_120,included,basic,13.87,"{'max_depth': 3, 'min_samples_leaf': 50}",,,,,,,13.96,0.56
